id,event_day,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2
173684438,20250427,11275714,11275718,,,,2.5,1.166,4.500,"+0.5, +1.0",1,1.900,"-0.5, -1.0",2,1.800,4.5,1.0,1.900,4.5,2.0,1.800,Bayer 04 (Serenity) or Draw,2.100,Draw or Arsenal (Samurai),1.222,Bayer 04 (Serenity) or Arsenal (Samurai),1.166,1,3.250,2,1.333
173703463,20250427,11256219,11222173,0.0,3.0,3.0,2.5,1.166,4.500,"0.0, -0.5",1,1.775,"0.0, +0.5",2,1.925,"4.0, 4.5",1.0,1.800,"4.0, 4.5",2.0,1.900,Bayern (Miguel) or Draw,1.363,Draw or PSG (Arthur),1.700,Bayern (Miguel) or PSG (Arthur),1.166,1,1.571,2,2.250
173703485,20250427,11256219,11247194,3.0,4.0,7.0,2.5,1.142,5.000,0.0,1,1.750,0.0,2,1.950,4.5,1.0,1.875,4.5,2.0,1.825,Bayern (Miguel) or Draw,1.444,Draw or Real Madrid (Persie),1.571,Bayern (Miguel) or Real Madrid (Persie),1.166,1,1.727,2,2.000
173703494,20250427,11222173,11241713,0.0,1.0,1.0,2.5,1.333,3.250,0.0,1,1.750,0.0,2,1.950,3.5,1.0,1.775,3.5,2.0,1.925,PSG (Arthur) or Draw,1.444,Draw or Arsenal (Shelby),1.533,PSG (Arthur) or Arsenal (Shelby),1.222,1,1.727,2,2.000
173703502,20250427,11256219,11241713,2.0,3.0,5.0,2.5,1.111,6.000,-0.5,1,1.775,+0.5,2,1.925,"4.0, 4.5",1.0,1.900,"4.0, 4.5",2.0,1.800,Bayern (Miguel) or Draw,1.250,Draw or Arsenal (Shelby),1.909,Bayern (Miguel) or Arsenal (Shelby),1.166,1,1.444,2,2.625
173703504,20250427,11222173,11234797,2.0,3.0,5.0,2.5,1.166,4.500,0.0,1,1.750,0.0,2,1.950,4.5,1.0,1.900,4.5,2.0,1.800,PSG (Arthur) or Draw,1.444,Draw or Inter (Prince),1.550,PSG (Arthur) or Inter (Prince),1.166,1,1.727,2,2.000
173703507,20250427,11234797,11241713,5.0,2.0,7.0,2.5,1.040,9.000,,,,,,,,,,,,,Inter (Prince) or Draw,1.571,Draw or Arsenal (Shelby),1.533,Inter (Prince) or Arsenal (Shelby),1.125,1,1.833,2,1.833
173703509,20250427,11222173,11247194,1.0,2.0,3.0,2.5,1.166,4.500,,,,,,,,,,,,,PSG (Arthur) or Draw,1.600,Draw or Real Madrid (Persie),1.444,PSG (Arthur) or Real Madrid (Persie),1.142,,,,
173703512,20250427,11234797,11256219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173703514,20250427,11247194,11241713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173703517,20250427,11222173,11256219,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173703520,20250427,11247194,11234797,,,,2.5,1.111,6.000,,,,,,,,,,,,,Real Madrid (Persie) or Draw,1.250,Draw or Inter (Prince),2.000,Real Madrid (Persie) or Inter (Prince),1.125,1,1.363,2,3.000
173684243,20250427,11264288,11275701,2.0,0.0,2.0,2.5,1.142,5.000,"-0.5, -1.0",1,1.800,"+0.5, +1.0",2,1.900,4.5,1.0,1.800,4.5,2.0,1.900,Roma (Samurai) or Draw,1.181,Draw or Bologna (maksdh),2.100,Roma (Samurai) or Bologna (maksdh),1.166,1,1.333,2,3.250
173684245,20250427,11275704,11275702,3.0,0.0,3.0,2.5,1.142,5.000,"0.0, -0.5",1,1.800,"0.0, +0.5",2,1.900,4.5,1.0,1.825,4.5,2.0,1.875,Fiorentina (goldfer) or Draw,1.363,Draw or Juventus (v1nniePuh),1.700,Fiorentina (goldfer) or Juventus (v1nniePuh),1.142,1,1.615,2,2.200
