,id,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2,event_day,media_goals_home,media_victories_home,media_goals_away,media_victories_away,h2h_mean,home_h2h_mean,away_h2h_mean,res_goals_over_under,asian_handicap1_1,asian_handicap1_2,asian_handicap2_1,asian_handicap2_2,diff_goals,classificacao_ah1,classificacao_ah2,ah1_positivo,ah1_negativo,ah1_reembolso,ah1_indefinido,ah1_meio_ganho,ah2_positivo,ah2_negativo,ah2_reembolso,ah2_indefinido,ah2_meio_ganho,ah2_meia_perda,goal_line1_1,goal_line1_2,goal_line2_1,goal_line2_2,classificacao_gl1,classificacao_gl2,gl1_positivo,gl1_negativo,gl1_reembolso,gl1_indefinido,gl1_meio_ganho,gl1_meia_perda,gl2_positivo,gl2_negativo,gl2_reembolso,gl2_indefinido,gl2_meio_ganho,gl2_meia_perda,res_double_chance1,res_double_chance2,res_double_chance3,res_draw_no_bet1,res_draw_no_bet2,dnb1_ganha,dnb1_perde,dnb1_reembolso,dnb1_indefinido,dnb2_ganha,dnb2_perde,dnb2_reembolso,dnb2_indefinido
0,173529634,11230051,11232883,3.0,1.0,4.0,2.5,1.333,3.250,"0.0, +0.5",1,1.875,"0.0, -0.5",2,1.825,3.5,1.0,1.800,3.5,2.0,1.900,Lazio (Zangief) or Draw,1.615,Draw or Napoli (Madisson),1.300,Lazio (Zangief) or Napoli (Madisson),1.250,1,2.250,2,1.571,20250425,,,,,,,,True,0.0,0.5,0.0,-0.5,2.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,3.5,3.5,3.5,3.5,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
1,173529642,11240293,11264671,4.0,2.0,6.0,2.5,1.142,5.000,"0.0, -0.5",1,1.800,"0.0, +0.5",2,1.900,4.5,1.0,1.875,4.5,2.0,1.825,Real Madrid (Thor) or Draw,1.363,Draw or PSG (Madisson),1.700,Real Madrid (Thor) or PSG (Madisson),1.166,1,1.615,2,2.200,20250425,,,,,,,,True,0.0,-0.5,0.0,0.5,2.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,4.5,4.5,4.5,4.5,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
2,173529646,11255372,11233889,5.0,1.0,6.0,2.5,1.125,5.500,-0.5,1,1.900,+0.5,2,1.800,"4.5, 5.0",1.0,1.900,"4.5, 5.0",2.0,1.800,Bayern (Goliath) or Draw,1.333,Draw or Inter (Zangief),1.800,Bayern (Goliath) or Inter (Zangief),1.166,1,1.533,2,2.375,20250425,,,,,,,,True,-0.5,-0.5,0.5,0.5,4.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,4.5,5.0,4.5,5.0,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
3,173529655,11255372,11264671,3.0,4.0,7.0,2.5,1.100,6.500,"0.0, +0.5",1,1.850,"0.0, -0.5",2,1.850,"4.5, 5.0",1.0,1.950,"4.5, 5.0",2.0,1.750,Bayern (Goliath) or Draw,1.666,Draw or PSG (Madisson),1.444,Bayern (Goliath) or PSG (Madisson),1.125,1,2.100,2,1.666,20250425,,,,,,,,True,0.0,0.5,0.0,-0.5,-1.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,4.5,5.0,4.5,5.0,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
4,173529659,11233889,11240293,4.0,1.0,5.0,2.5,1.100,6.500,+1.0,1,1.825,-1.0,2,1.875,5.0,1.0,1.825,5.0,2.0,1.875,Inter (Zangief) or Draw,2.150,Draw or Real Madrid (Thor),1.222,Inter (Zangief) or Real Madrid (Thor),1.125,1,3.250,2,1.333,20250425,,,,,,,,True,1.0,1.0,-1.0,-1.0,3.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,5.0,5.0,5.0,5.0,reembolso,reembolso,False,False,True,False,False,False,False,False,True,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
5,173529666,11255372,11240293,3.0,5.0,8.0,2.5,1.100,6.500,+0.5,1,1.850,-0.5,2,1.850,5.0,1.0,1.850,5.0,2.0,1.850,Bayern (Goliath) or Draw,1.800,Draw or Real Madrid (Thor),1.300,Bayern (Goliath) or Real Madrid (Thor),1.142,1,2.500,2,1.500,20250425,,,,,,,,True,0.5,0.5,-0.5,-0.5,-2.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,5.0,5.0,5.0,5.0,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
6,173529690,11264671,11233889,3.0,3.0,6.0,2.5,1.222,4.000,"0.0, -0.5",1,1.825,"0.0, +0.5",2,1.875,4.0,1.0,1.825,4.0,2.0,1.875,PSG (Madisson) or Draw,1.363,Draw or Inter (Zangief),1.666,PSG (Madisson) or Inter (Zangief),1.181,1,1.615,2,2.200,20250425,,,,,,,,True,0.0,-0.5,0.0,0.5,0.0,meia_perda,meio_ganho,False,False,False,False,True,False,False,False,False,True,False,4.0,4.0,4.0,4.0,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,1,1,0,reembolso,reembolso,False,False,True,False,False,False,True,False
7,173529697,11264671,11240293,6.0,1.0,7.0,2.5,1.125,5.500,"0.0, +0.5",1,1.875,"0.0, -0.5",2,1.825,"4.5, 5.0",1.0,1.875,"4.5, 5.0",2.0,1.825,PSG (Madisson) or Draw,1.700,Draw or Real Madrid (Thor),1.400,PSG (Madisson) or Real Madrid (Thor),1.125,1,2.100,2,1.666,20250425,,,,,,,,True,0.0,0.5,0.0,-0.5,5.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,4.5,5.0,4.5,5.0,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
8,173529700,11233889,11255372,2.0,4.0,6.0,2.5,1.083,7.000,+0.5,1,1.900,-0.5,2,1.800,"5.0, 5.5",1.0,1.900,"5.0, 5.5",2.0,1.800,Inter (Zangief) or Draw,1.909,Draw or Bayern (Goliath),1.285,Inter (Zangief) or Bayern (Goliath),1.125,1,2.500,2,1.500,20250425,,,,,,,,True,0.5,0.5,-0.5,-0.5,-2.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,5.0,5.5,5.0,5.5,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
9,173529706,11264671,11255372,2.0,3.0,5.0,2.5,1.071,7.500,"0.0, -0.5",1,1.850,"0.0, +0.5",2,1.850,5.5,1.0,1.875,5.5,2.0,1.825,PSG (Madisson) or Draw,1.444,Draw or Bayern (Goliath),1.666,PSG (Madisson) or Bayern (Goliath),1.125,1,1.666,2,2.100,20250425,,,,,,,,True,0.0,-0.5,0.0,0.5,-1.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,5.5,5.5,5.5,5.5,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
