,odd_goals_over1,odd_goals_under1,media_goals_home,media_goals_away,h2h_mean,res_goals_over_under
0,1.04,9.0,3.6,4.0,9.0,True
1,1.02,11.0,2.0,2.6,4.666666666666667,False
2,1.333,3.25,1.4,1.2,4.0,True
3,1.444,2.625,2.0,1.4,3.6,True
8,1.05,8.5,2.8,3.4,4.666666666666667,True
9,1.65,2.2,2.0,1.4,2.857142857142857,True
10,1.4,2.75,2.0,1.4,4.2,True
11,1.363,3.0,2.0,1.2,1.6666666666666667,True
16,1.03,10.0,2.8,2.6,5.714285714285714,True
17,1.02,11.0,3.8,3.4,5.333333333333333,True
18,1.083,7.0,2.8,4.0,5.333333333333333,True
19,1.083,7.0,2.2,2.6,6.0,True
20,1.4,2.75,2.0,1.4,5.0,False
21,1.5,2.5,1.4,1.4,2.6666666666666665,True
22,1.012,13.0,3.6,4.0,6.333333333333333,True
23,1.062,8.0,2.6,4.0,6.333333333333333,True
24,1.083,7.0,3.6,2.4,4.333333333333333,True
27,1.05,8.5,3.4,2.4,4.666666666666667,True
28,1.02,11.0,2.0,2.8,5.333333333333333,True
29,1.571,2.35,2.0,1.4,2.6666666666666665,True
30,1.333,3.25,1.0,1.4,1.5,False
31,1.2,4.333,2.0,2.6,3.5,True
32,1.012,13.0,2.6,4.0,6.0,True
33,1.571,2.35,1.0,1.4,2.5,True
34,1.285,3.5,1.4,1.4,4.5,True
36,1.02,11.0,2.2,4.0,5.0,True
37,1.444,2.625,2.0,1.4,2.5,True
38,1.03,10.0,2.0,3.4,7.5,True
39,1.05,8.5,2.8,2.0,6.0,False
40,1.444,2.625,0.6,2.0,2.7142857142857144,False
41,1.222,4.0,1.2,1.2,2.6666666666666665,False
42,1.533,2.375,0.6,2.8,5.0,False
43,1.25,3.75,1.2,2.2,4.333333333333333,False
44,1.285,3.5,1.2,2.2,2.6666666666666665,False
45,1.333,3.25,2.2,1.2,4.0,True
46,1.1,6.5,1.2,1.8,8.333333333333334,True
47,1.222,4.0,3.2,1.2,3.6666666666666665,True
48,1.25,3.75,1.4,2.2,4.333333333333333,True
49,1.083,7.0,3.8,2.6,4.0,True
51,1.083,7.0,3.2,1.8,7.666666666666667,True
53,1.2,4.333,1.4,2.8,5.666666666666667,False
55,1.4,2.75,2.8,1.8,4.666666666666667,True
56,1.3,3.4,1.2,2.8,3.6666666666666665,True
57,1.4,2.75,1.4,1.6,2.3333333333333335,False
58,1.333,3.25,1.2,2.2,4.0,False
59,1.25,3.75,2.2,2.2,6.0,True
60,1.25,3.75,1.4,1.2,5.0,True
61,1.3,3.4,1.0,1.4,3.5,True
62,1.5,2.5,2.0,1.4,3.5,True
63,1.005,17.0,2.6,3.4,5.0,True
64,1.062,8.0,3.8,2.6,4.5,True
65,1.615,2.25,1.4,1.4,4.0,False
66,1.4,2.75,1.0,1.4,4.5,False
67,1.1,6.5,2.2,2.6,4.5,True
68,1.02,11.0,2.6,2.6,4.5,True
70,1.3,3.4,1.8,2.2,4.0,True
71,1.615,2.25,1.8,1.8,2.0,False
72,1.2,4.333,2.2,2.2,4.5,True
73,1.25,3.75,2.2,2.0,4.0,True
74,1.25,3.75,0.6,2.2,4.666666666666667,False
75,1.3,3.4,3.2,1.6,3.0,True
76,1.03,10.0,2.2,3.2,6.0,True
77,1.01,15.0,3.6,3.2,7.0,True
78,1.142,5.0,2.2,2.8,3.5,True
79,1.25,3.75,0.8,3.0,4.666666666666667,True
80,1.222,4.0,0.8,2.4,4.666666666666667,False
81,1.05,8.5,1.8,2.2,3.0,True
82,1.142,5.0,1.6,1.2,3.0,True
83,1.02,11.0,2.4,3.4,7.0,True
84,1.142,5.0,2.4,1.2,3.6666666666666665,True
87,1.02,11.0,3.2,2.2,5.0,True
88,1.03,10.0,2.6,3.2,4.0,True
89,1.083,7.0,1.6,1.8,6.0,True
90,1.111,6.0,2.8,2.2,3.8,True
91,1.04,9.0,2.4,2.4,5.666666666666667,True
92,1.01,15.0,3.6,3.4,8.0,True
93,1.05,8.5,2.8,1.2,5.6,True
94,1.125,5.5,1.8,3.4,5.833333333333333,True
95,1.071,7.5,0.8,3.4,2.0,False
96,1.025,10.5,3.6,2.2,4.0,True
97,1.04,9.0,2.4,3.0,5.0,True
99,1.142,5.0,1.4,3.4,6.0,True
100,1.025,10.5,3.6,1.6,6.0,True
101,1.2,4.333,3.6,2.2,5.333333333333333,True
102,1.071,7.5,1.4,2.6,5.666666666666667,True
103,1.142,5.0,3.2,4.2,4.8,True
104,1.015,12.0,5.6,3.0,9.0,True
105,1.142,5.0,2.2,3.2,5.2,True
