,id,home,away,home_goals,away_goals,tot_goals,odd_over,odd_under,goals_odd
0,172006763,11265335,11239770,2.0,1.0,3.0,1.071,7.5,2.5
1,172006766,11240527,11265336,2.0,0.0,2.0,1.111,6.0,2.5
2,172006768,11265335,11259408,2.0,0.0,2.0,1.166,4.5,2.5
3,172006770,11265336,11239770,2.0,4.0,6.0,1.015,12.0,2.5
4,172006772,11240527,11259408,3.0,2.0,5.0,1.1,6.5,2.5
5,172006783,11265336,11265335,1.0,2.0,3.0,1.111,6.0,2.5
6,172006785,11265336,11259408,3.0,6.0,9.0,1.071,7.5,2.5
7,172006787,11239770,11240527,1.0,1.0,2.0,1.062,8.0,2.5
8,172006789,11239770,11259408,1.0,4.0,5.0,1.03,10.0,2.5
9,172006791,11265335,11240527,1.0,0.0,1.0,1.5,2.5,2.5
10,172006799,11239033,11265366,4.0,1.0,5.0,1.083,7.0,2.5
11,172006803,11256863,11232016,3.0,3.0,6.0,1.222,4.0,2.5
12,172006805,11234837,11265366,3.0,3.0,6.0,1.222,4.0,2.5
13,172006808,11239033,11256863,3.0,2.0,5.0,1.02,11.0,2.5
14,172006810,11234837,11232016,5.0,4.0,9.0,1.111,6.0,2.5
15,172006812,11265366,11256863,1.0,1.0,2.0,1.222,4.0,2.5
18,172006819,11234837,11239033,1.0,5.0,6.0,1.071,7.5,2.5
19,172006832,11232016,11265366,2.0,2.0,4.0,1.571,2.35,2.5
20,172006837,11265366,11239033,2.0,3.0,5.0,1.062,8.0,2.5
21,172006844,11232016,11256863,2.0,1.0,3.0,1.111,6.0,2.5
22,172006849,11265366,11234837,1.0,2.0,3.0,1.1,6.5,2.5
23,172006857,11256863,11239033,1.0,1.0,2.0,1.03,10.0,2.5
24,172006869,11232016,11234837,3.0,6.0,9.0,1.083,7.0,2.5
25,172006880,11256863,11265366,4.0,4.0,8.0,1.333,3.25,2.5
26,172006888,11256863,11234837,2.0,4.0,6.0,1.071,7.5,2.5
27,172006896,11239033,11232016,4.0,1.0,5.0,1.05,8.5,2.5
28,172006915,11239033,11234837,3.0,4.0,7.0,1.025,10.5,2.5
29,172006934,11265366,11232016,3.0,1.0,4.0,1.4,2.75,2.5
30,172013667,11251498,11253173,3.0,3.0,6.0,1.125,5.5,2.5
31,172013669,11233890,11253175,5.0,3.0,8.0,1.111,6.0,2.5
32,172013680,11265043,11253173,2.0,3.0,5.0,1.166,4.5,2.5
33,172013683,11251498,11233890,2.0,5.0,7.0,1.05,8.5,2.5
36,172013711,11265043,11233890,6.0,0.0,6.0,1.071,7.5,2.5
37,172013719,11253175,11251498,4.0,1.0,5.0,1.062,8.0,2.5
38,172013729,11265043,11251498,6.0,2.0,8.0,1.1,6.5,2.5
39,172013733,11253175,11253173,1.0,2.0,3.0,1.166,4.5,2.5
40,172013737,11253173,11251498,1.0,1.0,2.0,1.111,6.0,2.5
41,172013741,11253175,11233890,3.0,4.0,7.0,1.1,6.5,2.5
42,172013743,11253173,11265043,2.0,6.0,8.0,1.166,4.5,2.5
