,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,home,away,home_goals,away_goals,tot_goals,odd_over,odd_under,goals_odd
0,0.0,0.0,0.0,172116594,11230361,11230360,0.0,0.0,0.0,1.444,2.625,2.5
1,1.0,1.0,1.0,172116597,11260207,11266091,3.0,2.0,5.0,1.2,4.333,2.5
2,2.0,2.0,2.0,172116600,11230361,11254318,4.0,0.0,4.0,1.363,3.0,2.5
3,3.0,3.0,3.0,172116604,11266091,11230360,1.0,3.0,4.0,1.3,3.4,2.5
4,4.0,4.0,4.0,172116606,11260207,11254318,0.0,1.0,1.0,1.071,7.5,2.5
5,5.0,5.0,5.0,172116610,11266091,11230361,2.0,2.0,4.0,1.222,4.0,2.5
6,6.0,6.0,6.0,172116622,11266091,11254318,1.0,1.0,2.0,1.4,2.75,2.5
7,7.0,7.0,7.0,172116625,11230360,11260207,4.0,1.0,5.0,1.083,7.0,2.5
8,8.0,8.0,8.0,172116630,11230360,11254318,2.0,1.0,3.0,1.166,4.5,2.5
9,9.0,9.0,9.0,172116635,11230361,11260207,2.0,2.0,4.0,1.222,4.0,2.5
10,10.0,10.0,10.0,172116640,11243091,11261493,3.0,2.0,5.0,1.4,2.75,2.5
11,11.0,11.0,11.0,172116658,11253273,11261493,3.0,1.0,4.0,1.363,3.0,2.5
12,12.0,12.0,12.0,172116662,11243091,11224612,1.0,2.0,3.0,1.4,2.75,2.5
13,13.0,13.0,13.0,172116666,11253273,11234328,4.0,1.0,5.0,1.1,6.5,2.5
14,14.0,14.0,14.0,172116671,11261493,11224612,3.0,4.0,7.0,1.222,4.0,2.5
15,15.0,15.0,15.0,172116673,11253273,11224612,0.0,0.0,0.0,1.444,2.625,2.5
16,16.0,16.0,16.0,172116676,11234328,11243091,1.0,3.0,4.0,1.05,8.5,2.5
17,17.0,17.0,17.0,172116678,11253273,11243091,1.0,0.0,1.0,1.166,4.5,2.5
18,18.0,18.0,18.0,172116683,11234328,11261493,4.0,3.0,7.0,1.166,4.5,2.5
19,19.0,19.0,19.0,172116693,11261493,11243091,3.0,4.0,7.0,1.333,3.25,2.5
20,20.0,20.0,20.0,172116701,11261493,11253273,4.0,1.0,5.0,1.285,3.5,2.5
21,21.0,21.0,21.0,172116704,11224612,11243091,4.0,5.0,9.0,1.363,3.0,2.5
22,22.0,22.0,22.0,172116708,11234328,11253273,2.0,2.0,4.0,1.083,7.0,2.5
23,23.0,23.0,23.0,172116717,11224612,11261493,2.0,1.0,3.0,1.2,4.333,2.5
24,24.0,24.0,24.0,172116720,11224612,11253273,1.0,1.0,2.0,1.571,2.35,2.5
25,25.0,25.0,25.0,172116722,11243091,11234328,3.0,3.0,6.0,1.062,8.0,2.5
26,26.0,26.0,26.0,172116724,11243091,11253273,2.0,2.0,4.0,1.142,5.0,2.5
27,27.0,27.0,27.0,172116726,11261493,11234328,3.0,2.0,5.0,1.166,4.5,2.5
28,28.0,28.0,28.0,172127041,11265743,11239812,3.0,4.0,7.0,1.025,10.5,2.5
29,29.0,29.0,29.0,172127051,11222490,11255371,4.0,1.0,5.0,1.083,7.0,2.5
30,30.0,30.0,30.0,172127062,11243668,11239812,2.0,2.0,4.0,1.222,4.0,2.5
31,31.0,31.0,31.0,172127066,11265743,11222490,3.0,2.0,5.0,1.04,9.0,2.5
32,32.0,32.0,32.0,172127071,11243668,11255371,2.0,3.0,5.0,1.083,7.0,2.5
33,33.0,33.0,33.0,172127074,11239812,11222490,5.0,3.0,8.0,1.062,8.0,2.5
34,34.0,34.0,34.0,172127077,11243668,11222490,2.0,2.0,4.0,1.2,4.333,2.5
35,35.0,35.0,35.0,172127079,11255371,11265743,0.0,4.0,4.0,1.02,11.0,2.5
36,36.0,36.0,36.0,172127081,11243668,11265743,4.0,2.0,6.0,1.05,8.5,2.5
37,37.0,37.0,37.0,172127084,11255371,11239812,5.0,5.0,10.0,1.012,13.0,2.5
38,38.0,38.0,38.0,172127102,11239812,11243668,1.0,3.0,4.0,1.222,4.0,2.5
39,39.0,39.0,39.0,172127105,11222490,11265743,3.0,4.0,7.0,1.05,8.5,2.5
40,40.0,40.0,40.0,172127109,11255371,11243668,2.0,4.0,6.0,1.125,5.5,2.5
41,41.0,41.0,41.0,172127119,11222490,11239812,5.0,2.0,7.0,1.071,7.5,2.5
42,42.0,42.0,42.0,172127122,11222490,11243668,2.0,0.0,2.0,1.2,4.333,2.5
43,43.0,43.0,43.0,172127124,11265743,11255371,5.0,3.0,8.0,1.012,13.0,2.5
44,44.0,44.0,44.0,172127126,11265743,11243668,3.0,3.0,6.0,1.062,8.0,2.5
45,45.0,45.0,45.0,172127128,11239812,11255371,1.0,3.0,4.0,1.005,17.0,2.5
46,46.0,46.0,46.0,172127130,11265760,11249656,4.0,5.0,9.0,1.015,12.0,2.5
47,47.0,47.0,47.0,172127132,11227966,11265761,1.0,1.0,2.0,1.05,8.5,2.5
48,48.0,48.0,48.0,172127134,11265762,11249656,1.0,1.0,2.0,1.222,4.0,2.5
49,49.0,49.0,49.0,172127138,11265760,11227966,1.0,5.0,6.0,1.04,9.0,2.5
50,50.0,50.0,50.0,172127148,11265762,11265761,2.0,1.0,3.0,1.083,7.0,2.5
51,51.0,51.0,51.0,172127150,11249656,11227966,2.0,2.0,4.0,1.05,8.5,2.5
52,52.0,52.0,52.0,172127153,11265762,11227966,1.0,1.0,2.0,1.2,4.333,2.5
53,53.0,53.0,53.0,172127156,11265761,11265760,2.0,4.0,6.0,1.015,12.0,2.5
54,54.0,54.0,54.0,172127161,11265762,11265760,2.0,2.0,4.0,1.1,6.5,2.5
55,55.0,55.0,55.0,172127168,11265761,11249656,2.0,4.0,6.0,1.015,12.0,2.5
56,56.0,56.0,56.0,172127172,11249656,11265760,3.0,3.0,6.0,1.012,13.0,2.5
57,57.0,57.0,57.0,172127175,11265761,11227966,2.0,4.0,6.0,1.062,8.0,2.5
58,58.0,58.0,58.0,172127178,11249656,11265762,2.0,0.0,2.0,1.222,4.0,2.5
59,59.0,59.0,59.0,172127181,11227966,11265760,2.0,3.0,5.0,1.03,10.0,2.5
60,60.0,60.0,60.0,172127183,11265761,11265762,3.0,0.0,3.0,1.083,7.0,2.5
61,61.0,61.0,61.0,172127185,11227966,11249656,2.0,3.0,5.0,1.05,8.5,2.5
62,62.0,62.0,62.0,172127188,11227966,11265762,2.0,1.0,3.0,1.2,4.333,2.5
63,63.0,63.0,63.0,172127192,11265760,11265761,6.0,2.0,8.0,1.012,13.0,2.5
64,64.0,64.0,64.0,172127204,11265760,11265762,4.0,3.0,7.0,1.083,7.0,2.5
65,65.0,65.0,65.0,172127216,11249656,11265761,7.0,5.0,12.0,1.015,12.0,2.5
66,66.0,66.0,66.0,172127219,11263021,11222393,3.0,3.0,6.0,1.015,12.0,2.5
67,67.0,67.0,67.0,172127223,11253035,11265796,3.0,6.0,9.0,1.071,7.5,2.5
68,68.0,68.0,68.0,172127258,11228052,11253035,1.0,2.0,3.0,1.222,4.0,2.5
69,69.0,69.0,69.0,172127264,11228052,11263021,1.0,5.0,6.0,1.062,8.0,2.5
70,70.0,70.0,70.0,172127266,11265796,11222393,2.0,5.0,7.0,1.01,15.0,2.5
71,71.0,71.0,71.0,172127269,11222393,11263021,3.0,3.0,6.0,1.015,12.0,2.5
72,72.0,72.0,72.0,172127276,11265796,11253035,5.0,3.0,8.0,1.05,8.5,2.5
73,73.0,73.0,73.0,172127295,11265796,11228052,2.0,2.0,4.0,1.1,6.5,2.5
74,74.0,74.0,74.0,172127301,11253035,11222393,1.0,2.0,3.0,1.071,7.5,2.5
75,75.0,75.0,75.0,172127309,11253035,11228052,1.0,1.0,2.0,1.222,4.0,2.5
76,76.0,76.0,76.0,172127316,11263021,11265796,7.0,4.0,11.0,1.01,15.0,2.5
77,77.0,77.0,77.0,172127318,11263021,11228052,4.0,1.0,5.0,1.05,8.5,2.5
78,78.0,78.0,78.0,172127320,11222393,11265796,2.0,3.0,5.0,1.015,12.0,2.5
79,79.0,79.0,79.0,172172695,11229361,11226627,1.0,3.0,4.0,1.285,3.5,2.5
80,80.0,80.0,80.0,172172700,11254957,11266068,1.0,1.0,2.0,1.111,6.0,2.5
81,81.0,81.0,81.0,172172709,11229361,11254957,5.0,0.0,5.0,1.166,4.5,2.5
82,82.0,82.0,82.0,172172713,11226627,11254957,1.0,0.0,1.0,1.142,5.0,2.5
83,83.0,83.0,83.0,172172717,11266068,11229361,2.0,1.0,3.0,1.05,8.5,2.5
84,84.0,84.0,84.0,172172731,11266068,11226627,0.0,2.0,2.0,1.166,4.5,2.5
85,85.0,85.0,85.0,172172738,11266068,11254957,2.0,4.0,6.0,1.111,6.0,2.5
86,86.0,86.0,86.0,172192947,11226627,11229361,0.0,0.0,0.0,1.4,2.75,2.5
87,87.0,87.0,87.0,172172747,11254957,11229361,3.0,3.0,6.0,1.2,4.333,2.5
88,88.0,88.0,88.0,172172754,11254957,11226627,2.0,3.0,5.0,1.142,5.0,2.5
89,89.0,89.0,89.0,172172758,11229361,11266068,1.0,4.0,5.0,1.05,8.5,2.5
90,90.0,90.0,90.0,172172764,11230360,11230361,3.0,2.0,5.0,1.5,2.5,2.5
91,91.0,91.0,91.0,172172766,11266091,11260207,0.0,4.0,4.0,1.111,6.0,2.5
92,92.0,92.0,92.0,172172778,11230360,11266091,4.0,1.0,5.0,1.2,4.333,2.5
93,93.0,93.0,93.0,172172782,11230361,11266091,2.0,2.0,4.0,1.2,4.333,2.5
94,94.0,94.0,94.0,172172791,11260207,11230360,0.0,3.0,3.0,1.062,8.0,2.5
95,95.0,95.0,95.0,172172801,11260207,11230361,2.0,1.0,3.0,1.166,4.5,2.5
96,96.0,96.0,96.0,172114281,11231778,11231527,5.0,1.0,6.0,1.1,6.5,2.5
97,97.0,97.0,97.0,172114285,11237644,11228239,4.0,2.0,6.0,1.04,9.0,2.5
98,98.0,98.0,98.0,172113660,11225713,11227231,1.0,1.0,2.0,1.111,6.0,2.5
99,99.0,99.0,99.0,172113662,11226659,11230347,2.0,4.0,6.0,1.2,4.333,2.5
100,100.0,100.0,100.0,172114292,11228239,11231778,1.0,2.0,3.0,1.25,3.75,2.5
101,101.0,101.0,101.0,172114294,11231527,11224934,3.0,3.0,6.0,1.025,10.5,2.5
102,102.0,102.0,102.0,172113664,11230347,11225713,7.0,0.0,7.0,1.1,6.5,2.5
103,103.0,103.0,103.0,172113668,11227231,11237649,2.0,2.0,4.0,1.062,8.0,2.5
104,104.0,104.0,104.0,172114296,11224934,11228239,3.0,2.0,5.0,1.025,10.5,2.5
105,105.0,105.0,105.0,172114299,11231778,11237644,3.0,1.0,4.0,1.2,4.333,2.5
106,106.0,106.0,106.0,172113678,11230347,11237649,2.0,1.0,3.0,1.083,7.0,2.5
107,107.0,107.0,107.0,172113684,11226659,11225713,1.0,1.0,2.0,1.166,4.5,2.5
108,108.0,108.0,108.0,172114304,11224934,11237644,4.0,2.0,6.0,1.005,17.0,2.5
109,109.0,109.0,109.0,172114310,11231527,11228239,3.0,3.0,6.0,1.04,9.0,2.5
110,110.0,110.0,110.0,172113691,11237649,11226659,1.0,2.0,3.0,1.1,6.5,2.5
111,111.0,111.0,111.0,172113693,11227231,11230347,3.0,1.0,4.0,1.083,7.0,2.5
112,112.0,112.0,112.0,172114312,11237644,11231527,1.0,2.0,3.0,1.03,10.0,2.5
113,113.0,113.0,113.0,172114315,11231778,11224934,0.0,1.0,1.0,1.083,7.0,2.5
