,id,home,away,home_goals,away_goals,tot_goals,odd_over,odd_under,goals_odd
0,172116594,11230361,11230360,0.0,0.0,0.0,1.444,2.625,2.5
1,172116597,11260207,11266091,3.0,2.0,5.0,1.2,4.333,2.5
2,172116600,11230361,11254318,4.0,0.0,4.0,1.363,3.0,2.5
3,172116604,11266091,11230360,1.0,3.0,4.0,1.3,3.4,2.5
4,172116606,11260207,11254318,0.0,1.0,1.0,1.071,7.5,2.5
5,172116610,11266091,11230361,2.0,2.0,4.0,1.222,4.0,2.5
6,172116622,11266091,11254318,1.0,1.0,2.0,1.4,2.75,2.5
7,172116625,11230360,11260207,4.0,1.0,5.0,1.083,7.0,2.5
8,172116630,11230360,11254318,2.0,1.0,3.0,1.166,4.5,2.5
9,172116635,11230361,11260207,2.0,2.0,4.0,1.222,4.0,2.5
10,172116640,11243091,11261493,3.0,2.0,5.0,1.4,2.75,2.5
11,172116658,11253273,11261493,3.0,1.0,4.0,1.363,3.0,2.5
12,172116662,11243091,11224612,1.0,2.0,3.0,1.4,2.75,2.5
13,172116666,11253273,11234328,4.0,1.0,5.0,1.1,6.5,2.5
14,172116671,11261493,11224612,3.0,4.0,7.0,1.222,4.0,2.5
15,172116673,11253273,11224612,0.0,0.0,0.0,1.444,2.625,2.5
16,172116676,11234328,11243091,1.0,3.0,4.0,1.05,8.5,2.5
17,172116678,11253273,11243091,1.0,0.0,1.0,1.166,4.5,2.5
18,172116683,11234328,11261493,4.0,3.0,7.0,1.166,4.5,2.5
19,172116693,11261493,11243091,3.0,4.0,7.0,1.333,3.25,2.5
20,172116701,11261493,11253273,4.0,1.0,5.0,1.285,3.5,2.5
21,172116704,11224612,11243091,4.0,5.0,9.0,1.363,3.0,2.5
22,172116708,11234328,11253273,2.0,2.0,4.0,1.083,7.0,2.5
23,172116717,11224612,11261493,2.0,1.0,3.0,1.2,4.333,2.5
24,172116720,11224612,11253273,1.0,1.0,2.0,1.571,2.35,2.5
25,172116722,11243091,11234328,3.0,3.0,6.0,1.062,8.0,2.5
26,172116724,11243091,11253273,2.0,2.0,4.0,1.142,5.0,2.5
27,172116726,11261493,11234328,3.0,2.0,5.0,1.166,4.5,2.5
28,172127041,11265743,11239812,3.0,4.0,7.0,1.025,10.5,2.5
29,172127051,11222490,11255371,4.0,1.0,5.0,1.083,7.0,2.5
30,172127062,11243668,11239812,2.0,2.0,4.0,1.222,4.0,2.5
31,172127066,11265743,11222490,3.0,2.0,5.0,1.04,9.0,2.5
32,172127071,11243668,11255371,2.0,3.0,5.0,1.083,7.0,2.5
33,172127074,11239812,11222490,5.0,3.0,8.0,1.062,8.0,2.5
34,172127077,11243668,11222490,2.0,2.0,4.0,1.2,4.333,2.5
35,172127079,11255371,11265743,0.0,4.0,4.0,1.02,11.0,2.5
36,172127081,11243668,11265743,4.0,2.0,6.0,1.05,8.5,2.5
37,172127084,11255371,11239812,5.0,5.0,10.0,1.012,13.0,2.5
38,172127102,11239812,11243668,1.0,3.0,4.0,1.222,4.0,2.5
39,172127105,11222490,11265743,3.0,4.0,7.0,1.05,8.5,2.5
40,172127109,11255371,11243668,2.0,4.0,6.0,1.125,5.5,2.5
41,172127119,11222490,11239812,5.0,2.0,7.0,1.071,7.5,2.5
42,172127122,11222490,11243668,2.0,0.0,2.0,1.2,4.333,2.5
43,172127124,11265743,11255371,5.0,3.0,8.0,1.012,13.0,2.5
44,172127126,11265743,11243668,3.0,3.0,6.0,1.062,8.0,2.5
45,172127128,11239812,11255371,1.0,3.0,4.0,1.005,17.0,2.5
46,172127130,11265760,11249656,4.0,5.0,9.0,1.015,12.0,2.5
47,172127132,11227966,11265761,1.0,1.0,2.0,1.05,8.5,2.5
48,172127134,11265762,11249656,1.0,1.0,2.0,1.222,4.0,2.5
49,172127138,11265760,11227966,1.0,5.0,6.0,1.04,9.0,2.5
50,172127148,11265762,11265761,2.0,1.0,3.0,1.083,7.0,2.5
51,172127150,11249656,11227966,2.0,2.0,4.0,1.05,8.5,2.5
52,172127153,11265762,11227966,1.0,1.0,2.0,1.2,4.333,2.5
53,172127156,11265761,11265760,2.0,4.0,6.0,1.015,12.0,2.5
54,172127161,11265762,11265760,2.0,2.0,4.0,1.1,6.5,2.5
55,172127168,11265761,11249656,2.0,4.0,6.0,1.015,12.0,2.5
56,172127172,11249656,11265760,3.0,3.0,6.0,1.012,13.0,2.5
57,172127175,11265761,11227966,2.0,4.0,6.0,1.062,8.0,2.5
58,172127178,11249656,11265762,2.0,0.0,2.0,1.222,4.0,2.5
59,172127181,11227966,11265760,2.0,3.0,5.0,1.03,10.0,2.5
60,172127183,11265761,11265762,3.0,0.0,3.0,1.083,7.0,2.5
61,172127185,11227966,11249656,2.0,3.0,5.0,1.05,8.5,2.5
62,172127188,11227966,11265762,2.0,1.0,3.0,1.2,4.333,2.5
63,172127192,11265760,11265761,6.0,2.0,8.0,1.012,13.0,2.5
64,172127204,11265760,11265762,4.0,3.0,7.0,1.083,7.0,2.5
65,172127216,11249656,11265761,7.0,5.0,12.0,1.015,12.0,2.5
66,172127219,11263021,11222393,3.0,3.0,6.0,1.015,12.0,2.5
67,172127223,11253035,11265796,3.0,6.0,9.0,1.071,7.5,2.5
68,172127258,11228052,11253035,1.0,2.0,3.0,1.222,4.0,2.5
69,172127264,11228052,11263021,1.0,5.0,6.0,1.062,8.0,2.5
70,172127266,11265796,11222393,2.0,5.0,7.0,1.01,15.0,2.5
71,172127269,11222393,11263021,3.0,3.0,6.0,1.015,12.0,2.5
72,172127276,11265796,11253035,5.0,3.0,8.0,1.05,8.5,2.5
73,172127295,11265796,11228052,2.0,2.0,4.0,1.1,6.5,2.5
74,172127301,11253035,11222393,1.0,2.0,3.0,1.071,7.5,2.5
75,172127309,11253035,11228052,1.0,1.0,2.0,1.222,4.0,2.5
76,172127316,11263021,11265796,7.0,4.0,11.0,1.01,15.0,2.5
77,172127318,11263021,11228052,4.0,1.0,5.0,1.05,8.5,2.5
78,172127320,11222393,11265796,2.0,3.0,5.0,1.015,12.0,2.5
79,172172695,11229361,11226627,1.0,3.0,4.0,1.285,3.5,2.5
80,172172700,11254957,11266068,1.0,1.0,2.0,1.111,6.0,2.5
81,172172709,11229361,11254957,5.0,0.0,5.0,1.166,4.5,2.5
82,172172713,11226627,11254957,1.0,0.0,1.0,1.142,5.0,2.5
83,172172717,11266068,11229361,2.0,1.0,3.0,1.05,8.5,2.5
84,172172731,11266068,11226627,0.0,2.0,2.0,1.166,4.5,2.5
85,172172738,11266068,11254957,2.0,4.0,6.0,1.111,6.0,2.5
86,172192947,11226627,11229361,0.0,0.0,0.0,1.4,2.75,2.5
87,172172747,11254957,11229361,3.0,3.0,6.0,1.2,4.333,2.5
88,172172754,11254957,11226627,2.0,3.0,5.0,1.142,5.0,2.5
89,172172758,11229361,11266068,1.0,4.0,5.0,1.05,8.5,2.5
90,172172764,11230360,11230361,3.0,2.0,5.0,1.5,2.5,2.5
91,172172766,11266091,11260207,0.0,4.0,4.0,1.111,6.0,2.5
92,172172778,11230360,11266091,4.0,1.0,5.0,1.2,4.333,2.5
93,172172782,11230361,11266091,2.0,2.0,4.0,1.2,4.333,2.5
94,172172791,11260207,11230360,0.0,3.0,3.0,1.062,8.0,2.5
95,172172801,11260207,11230361,2.0,1.0,3.0,1.166,4.5,2.5
96,172114281,11231778,11231527,5.0,1.0,6.0,1.1,6.5,2.5
97,172114285,11237644,11228239,4.0,2.0,6.0,1.04,9.0,2.5
98,172113660,11225713,11227231,1.0,1.0,2.0,1.111,6.0,2.5
99,172113662,11226659,11230347,2.0,4.0,6.0,1.2,4.333,2.5
100,172114292,11228239,11231778,1.0,2.0,3.0,1.25,3.75,2.5
101,172114294,11231527,11224934,3.0,3.0,6.0,1.025,10.5,2.5
102,172113664,11230347,11225713,7.0,0.0,7.0,1.1,6.5,2.5
103,172113668,11227231,11237649,2.0,2.0,4.0,1.062,8.0,2.5
104,172114296,11224934,11228239,3.0,2.0,5.0,1.025,10.5,2.5
105,172114299,11231778,11237644,3.0,1.0,4.0,1.2,4.333,2.5
106,172113678,11230347,11237649,2.0,1.0,3.0,1.083,7.0,2.5
107,172113684,11226659,11225713,1.0,1.0,2.0,1.166,4.5,2.5
108,172114304,11224934,11237644,4.0,2.0,6.0,1.005,17.0,2.5
109,172114310,11231527,11228239,3.0,3.0,6.0,1.04,9.0,2.5
110,172113691,11237649,11226659,1.0,2.0,3.0,1.1,6.5,2.5
111,172113693,11227231,11230347,3.0,1.0,4.0,1.083,7.0,2.5
112,172114312,11237644,11231527,1.0,2.0,3.0,1.03,10.0,2.5
113,172114315,11231778,11224934,0.0,1.0,1.0,1.083,7.0,2.5
114,172113697,11226659,11227231,0.0,4.0,4.0,1.111,6.0,2.5
115,172113706,11225713,11237649,4.0,3.0,7.0,1.111,6.0,2.5
116,172114317,11231527,11231778,2.0,1.0,3.0,1.1,6.5,2.5
117,172114320,11228239,11237644,5.0,1.0,6.0,1.04,9.0,2.5
118,172113710,11227231,11225713,4.0,2.0,6.0,1.083,7.0,2.5
119,172113713,11230347,11226659,0.0,1.0,1.0,1.166,4.5,2.5
120,172114322,11231778,11228239,4.0,2.0,6.0,1.25,3.75,2.5
121,172114325,11224934,11231527,5.0,2.0,7.0,1.025,10.5,2.5
122,172113715,11225713,11230347,3.0,4.0,7.0,1.1,6.5,2.5
123,172113717,11237649,11227231,2.0,1.0,3.0,1.071,7.5,2.5
124,172114328,11228239,11224934,4.0,3.0,7.0,1.02,11.0,2.5
125,172114336,11237644,11231778,2.0,2.0,4.0,1.222,4.0,2.5
126,172113721,11237747,11230368,3.0,1.0,4.0,1.111,6.0,2.5
127,172113724,11225748,11226674,3.0,3.0,6.0,1.142,5.0,2.5
128,172113726,11226674,11237747,2.0,4.0,6.0,1.111,6.0,2.5
129,172113729,11230368,11227237,2.0,1.0,3.0,1.111,6.0,2.5
130,172114343,11237782,11224945,3.0,2.0,5.0,1.005,17.0,2.5
131,172114347,11228245,11258266,3.0,1.0,4.0,1.05,8.5,2.5
132,172113737,11227237,11226674,7.0,0.0,7.0,1.1,6.5,2.5
133,172113739,11237747,11225748,3.0,1.0,4.0,1.083,7.0,2.5
134,172114349,11258266,11237782,5.0,1.0,6.0,1.04,9.0,2.5
135,172114355,11224945,11231808,3.0,1.0,4.0,1.1,6.5,2.5
136,172113744,11225748,11227237,3.0,2.0,5.0,1.083,7.0,2.5
137,172113747,11226674,11230368,2.0,1.0,3.0,1.166,4.5,2.5
138,172114361,11231808,11258266,1.0,4.0,5.0,1.125,5.5,2.5
139,172114372,11237782,11228245,3.0,2.0,5.0,1.025,10.5,2.5
140,172113752,11230368,11225748,3.0,2.0,5.0,1.1,6.5,2.5
141,172113761,11227237,11237747,3.0,2.0,5.0,1.071,7.5,2.5
142,172114377,11228245,11231808,2.0,2.0,4.0,1.2,4.333,2.5
143,172114382,11258266,11224945,6.0,4.0,10.0,1.015,12.0,2.5
144,172113764,11230368,11237747,3.0,4.0,7.0,1.071,7.5,2.5
145,172113767,11226674,11225748,5.0,1.0,6.0,1.111,6.0,2.5
146,172114385,11224945,11228245,2.0,1.0,3.0,1.02,11.0,2.5
147,172114388,11231808,11237782,1.0,0.0,1.0,1.222,4.0,2.5
148,172113771,11237747,11226674,3.0,1.0,4.0,1.111,6.0,2.5
149,172113775,11227237,11230368,2.0,4.0,6.0,1.1,6.5,2.5
150,172114398,11258266,11228245,2.0,4.0,6.0,1.05,8.5,2.5
151,172113778,11226674,11227237,3.0,2.0,5.0,1.111,6.0,2.5
152,172113781,11225748,11237747,3.0,2.0,5.0,1.083,7.0,2.5
153,172114402,11237782,11258266,2.0,1.0,3.0,1.03,10.0,2.5
154,172114414,11231808,11224945,2.0,2.0,4.0,1.1,6.5,2.5
155,172113785,11227237,11225748,3.0,3.0,6.0,1.083,7.0,2.5
156,172113792,11230368,11226674,1.0,2.0,3.0,1.166,4.5,2.5
157,172114419,11258266,11231808,4.0,2.0,6.0,1.111,6.0,2.5
158,172114423,11228245,11237782,3.0,0.0,3.0,1.05,8.5,2.5
159,172113801,11225748,11230368,5.0,1.0,6.0,1.1,6.5,2.5
160,172113805,11237747,11227237,4.0,5.0,9.0,1.071,7.5,2.5
161,172114425,11231808,11228245,2.0,1.0,3.0,1.2,4.333,2.5
162,172114429,11224945,11258266,5.0,4.0,9.0,1.025,10.5,2.5
163,172114437,11228245,11224945,3.0,5.0,8.0,1.025,10.5,2.5
164,172114440,11237782,11231808,0.0,1.0,1.0,1.2,4.333,2.5
165,172113809,11259204,11230379,1.0,3.0,4.0,1.071,7.5,2.5
