,home_goals,away_goals,media_goals_home,media_goals_away,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2
0,3.0,2.0,2.6666666666666665,2.5,-1.0,1.0,1.85,+1.0,2.0,1.85
1,4.0,6.0,2.3333333333333335,3.0,,,,,,
2,4.0,1.0,2.1,1.3333333333333333,"0.0, -0.5",1.0,1.8,"0.0, +0.5",2.0,1.9
3,1.0,2.0,1.3333333333333333,3.0,,,,,,
4,3.0,0.0,1.3333333333333333,1.3333333333333333,,,,,,
5,3.0,3.0,3.0,2.5,,,,,,
6,0.0,1.0,1.3333333333333333,2.5,,,,,,
7,3.0,3.0,3.0,1.3333333333333333,-0.5,1.0,1.85,+0.5,2.0,1.85
8,1.0,4.0,2.3333333333333335,2.5,,,,,,
9,3.0,3.0,3.0,3.6666666666666665,,,,,,
10,2.0,5.0,2.3333333333333335,3.6666666666666665,,,,,,
11,2.0,1.0,2.1,3.0,,,,,,
12,4.0,3.0,2.1,3.6666666666666665,-0.5,1.0,1.85,+0.5,2.0,1.85
13,1.0,2.0,1.25,1.625,0.0,1.0,1.95,0.0,2.0,1.75
14,1.0,3.0,0.875,2.0,"0.0, +0.5",1.0,1.8,"0.0, -0.5",2.0,1.9
15,1.0,2.0,1.2,1.625,,,,,,
16,1.0,0.0,1.25,1.625,,,,,,
17,1.0,3.0,1.2,2.0,0.0,1.0,1.9,0.0,2.0,1.8
18,1.0,0.0,2.0,1.625,"0.0, -0.5",1.0,1.875,"0.0, +0.5",2.0,1.825
19,0.0,0.0,1.2,1.625,,,,,,
20,1.0,0.0,1.75,0.75,,,,,,
21,0.0,1.0,1.2,0.75,0.0,1.0,1.9,0.0,2.0,1.8
22,2.0,4.0,1.75,1.625,0.0,1.0,1.95,0.0,2.0,1.75
23,1.0,0.0,2.0,0.75,0.0,1.0,1.875,0.0,2.0,1.825
24,3.0,3.0,1.75,1.625,"0.0, -0.5",1.0,1.95,"0.0, +0.5",2.0,1.75
25,1.0,2.0,2.0,1.3,"0.0, -0.5",1.0,1.9,"0.0, +0.5",2.0,1.8
26,2.0,1.0,0.875,0.75,0.0,1.0,1.775,0.0,2.0,1.925
27,2.0,0.0,1.75,1.3,,,,,,
28,0.0,1.0,0.875,1.625,,,,,,
29,0.0,1.0,0.875,1.3,0.0,1.0,1.9,0.0,2.0,1.8
30,2.0,3.0,1.25,2.0,0.0,1.0,1.9,0.0,2.0,1.8
31,0.0,3.0,1.25,1.3,0.0,1.0,1.825,0.0,2.0,1.875
32,2.0,2.0,2.0,2.0,0.0,1.0,1.825,0.0,2.0,1.875
33,3.0,2.0,1.75,1.0,"0.0, -0.5",1.0,1.95,"0.0, +0.5",2.0,1.75
34,4.0,2.0,1.7,1.875,,,,,,
35,2.0,0.0,2.2,1.0,"0.0, +0.5",1.0,1.85,"0.0, -0.5",2.0,1.85
36,1.0,3.0,1.75,1.8,0.0,1.0,1.875,0.0,2.0,1.825
37,1.0,1.0,2.2,1.875,,,,,,
38,3.0,3.0,2.0,1.8,,,,,,
39,2.0,2.0,2.2,1.8,0.0,1.0,1.775,0.0,2.0,1.925
40,0.0,1.0,1.8333333333333333,1.5,0.0,1.0,1.775,0.0,2.0,1.925
41,2.0,2.0,2.2,1.5,0.0,1.0,1.9,0.0,2.0,1.8
42,2.0,1.0,1.8333333333333333,1.0,0.0,1.0,1.95,0.0,2.0,1.75
43,2.0,1.0,2.0,1.5,,,,,,
44,2.0,2.0,1.7,1.5,0.0,1.0,1.775,0.0,2.0,1.925
45,2.0,2.0,1.8333333333333333,2.9,0.0,1.0,1.8,0.0,2.0,1.9
46,3.0,1.0,1.7,1.0,0.0,1.0,1.9,0.0,2.0,1.8
47,2.0,4.0,1.7,2.9,,,,,,
48,2.0,3.0,1.75,1.875,,,,,,
49,3.0,2.0,1.75,2.9,0.0,1.0,1.825,0.0,2.0,1.875
50,2.0,2.0,2.0,1.875,"0.0, -0.5",1.0,1.925,"0.0, +0.5",2.0,1.775
51,0.0,0.0,1.375,1.7,,,,,,
52,3.0,2.0,2.0,1.125,,,,,,
53,1.0,3.0,1.4285714285714286,1.7,,,,,,
54,1.0,2.0,1.375,1.5,,,,,,
55,3.0,0.0,1.4285714285714286,1.125,0.0,1.0,1.9,0.0,2.0,1.8
56,3.0,1.0,1.6,1.5,"0.0, -0.5",1.0,1.875,"0.0, +0.5",2.0,1.825
57,0.0,0.0,1.4285714285714286,1.5,0.0,1.0,1.775,0.0,2.0,1.925
58,0.0,2.0,1.0,1.7142857142857142,0.0,1.0,1.775,0.0,2.0,1.925
59,2.0,2.0,1.4285714285714286,1.7142857142857142,,,,,,
60,0.0,1.0,1.0,1.7,,,,,,
61,1.0,2.0,1.6,1.7142857142857142,"0.0, -0.5",1.0,1.975,"0.0, +0.5",2.0,1.725
62,2.0,2.0,1.0,1.5,"0.0, -0.5",1.0,1.95,"0.0, +0.5",2.0,1.75
63,2.0,1.0,1.6,0.625,,,,,,
64,1.0,2.0,2.0,1.7142857142857142,,,,,,
65,1.0,2.0,1.0,0.625,0.0,1.0,1.8,0.0,2.0,1.9
66,3.0,2.0,2.0,1.7,"0.0, +0.5",1.0,1.85,"0.0, -0.5",2.0,1.85
67,1.0,1.0,2.0,0.625,0.0,1.0,1.9,0.0,2.0,1.8
68,2.0,1.0,1.375,1.125,0.0,1.0,1.9,0.0,2.0,1.8
69,2.0,0.0,1.375,0.625,"0.0, -0.5",1.0,1.9,"0.0, +0.5",2.0,1.8
70,2.0,2.0,1.6,1.125,"0.0, -0.5",1.0,1.85,"0.0, +0.5",2.0,1.85
71,4.0,2.0,3.75,1.25,,,,,,
72,5.0,3.0,5.0,3.0,,,,,,
73,3.0,2.0,3.4444444444444446,1.25,0.0,1.0,1.875,0.0,2.0,1.825
74,1.0,6.0,3.75,4.25,"+1.5, +2.0",1.0,1.85,"-1.5, -2.0",2.0,1.85
75,2.0,2.0,3.4444444444444446,3.0,,,,,,
76,3.0,3.0,2.5,4.25,,,,,,
77,4.0,3.0,3.4444444444444446,4.25,,,,,,
78,3.0,6.0,2.25,3.0,,,,,,
79,4.0,2.0,3.4444444444444446,3.0,"0.0, -0.5",1.0,1.925,"0.0, +0.5",2.0,1.775
80,1.0,0.0,2.25,1.25,"0.0, +0.5",1.0,1.85,"0.0, -0.5",2.0,1.85
81,4.0,2.0,2.5,3.0,"0.0, -0.5",1.0,1.875,"0.0, +0.5",2.0,1.825
82,5.0,5.0,2.25,4.25,+1.5,1.0,1.9,-1.5,2.0,1.8
83,2.0,0.0,2.5,2.5555555555555554,,,,,,
84,7.0,2.0,5.0,3.0,,,,,,
85,0.0,2.0,2.25,2.5555555555555554,"0.0, +0.5",1.0,1.8,"0.0, -0.5",2.0,1.9
86,3.0,1.0,5.0,1.25,-1.5,1.0,1.8,+1.5,2.0,1.9
87,5.0,2.0,5.0,2.5555555555555554,-1.0,1.0,1.8,+1.0,2.0,1.9
88,5.0,4.0,3.75,3.0,0.0,1.0,1.875,0.0,2.0,1.825
89,5.0,5.0,3.75,2.5555555555555554,"0.0, +0.5",1.0,1.8,"0.0, -0.5",2.0,1.9
90,1.0,3.0,2.5,3.0,"0.0, -0.5",1.0,1.925,"0.0, +0.5",2.0,1.775
91,4.0,0.0,3.1,1.0,,,,,,
92,4.0,5.0,4.75,2.9,,,,,,
93,3.0,1.0,4.0,1.0,,,,,,
94,3.0,5.0,3.1,3.5,,,,,,
95,4.0,3.0,4.0,2.9,"0.0, -0.5",1.0,1.875,"0.0, +0.5",2.0,1.825
96,2.0,3.0,3.25,3.5,+1.5,1.0,1.85,-1.5,2.0,1.85
97,0.0,2.0,2.6,2.0,+0.5,1.0,1.85,-0.5,2.0,1.85
98,3.0,3.0,4.0,3.5,,,,,,
99,5.0,0.0,2.6,2.4,,,,,,
100,2.0,2.0,1.9,2.0,,,,,,
101,6.0,3.0,4.0,2.4,"0.0, -0.5",1.0,1.925,"0.0, +0.5",2.0,1.775
102,1.0,1.0,2.6,1.0,,,,,,
103,2.0,0.0,1.9,1.0,+0.5,1.0,1.925,-0.5,2.0,1.775
104,1.0,3.0,2.0,2.6,"-1.0, -1.5",1.0,1.9,"+1.0, +1.5",2.0,1.8
105,5.0,1.0,3.25,2.4,"0.0, -0.5",1.0,1.875,"0.0, +0.5",2.0,1.825
106,4.0,3.0,2.6,3.5,"+1.0, +1.5",1.0,1.9,"-1.0, -1.5",2.0,1.8
107,0.0,1.0,1.9,2.6,"0.0, -0.5",1.0,1.95,"0.0, +0.5",2.0,1.75
108,4.0,2.0,2.0,2.0,-1.0,1.0,1.825,+1.0,2.0,1.875
109,3.0,3.0,3.25,2.5,,,,,,
110,7.0,5.0,4.75,2.4,,,,,,
111,4.0,2.0,3.3333333333333335,2.6,,,,,,
112,1.0,1.0,2.6,2.5,,,,,,
113,6.0,2.0,4.75,1.0,,,,,,
114,1.0,1.0,3.3333333333333335,2.3,,,,,,
115,2.0,1.0,4.75,2.5,,,,,,
116,4.0,3.0,3.1,2.9,,,,,,
117,1.0,0.0,2.0,2.3,,,,,,
118,1.0,5.0,3.1,2.5,,,,,,
119,3.0,2.0,3.25,2.9,,,,,,
120,2.0,2.0,2.6,1.0,,,,,,
121,1.0,4.0,2.5,2.75,"0.0, +0.5",1.0,1.85,"0.0, -0.5",2.0,1.85
122,6.0,2.0,5.625,2.9,"-1.0, -1.5",1.0,1.9,"+1.0, +1.5",2.0,1.8
123,3.0,1.0,2.6,2.3,"0.0, +0.5",1.0,1.775,"0.0, -0.5",2.0,1.925
124,5.0,1.0,3.3333333333333335,1.0,"+1.0, +1.5",1.0,1.8,"-1.0, -1.5",2.0,1.9
125,0.0,3.0,2.4444444444444446,2.75,0.0,1.0,1.825,0.0,2.0,1.875
126,1.0,5.0,2.5,3.375,+2.0,1.0,1.85,-2.0,2.0,1.85
127,0.0,4.0,1.3333333333333333,2.6666666666666665,+0.5,1.0,1.85,-0.5,2.0,1.85
128,5.0,2.0,2.4444444444444446,2.9,"0.0, -0.5",1.0,1.8,"0.0, +0.5",2.0,1.9
129,3.0,3.0,2.25,3.375,+1.5,1.0,1.85,-1.5,2.0,1.85
130,2.0,2.0,1.6666666666666667,2.6666666666666665,"0.0, +0.5",1.0,1.8,"0.0, -0.5",2.0,1.9
131,1.0,1.0,2.4444444444444446,3.375,+1.0,1.0,1.85,-1.0,2.0,1.85
132,5.0,4.0,2.6,2.125,"0.0, +0.5",1.0,1.8,"0.0, -0.5",2.0,1.9
133,1.0,2.0,1.6666666666666667,2.6666666666666665,+0.5,1.0,1.925,-0.5,2.0,1.775
134,4.0,3.0,2.4444444444444446,2.125,"0.0, -0.5",1.0,1.8,"0.0, +0.5",2.0,1.9
135,2.0,3.0,2.6,2.75,"0.0, +0.5",1.0,1.775,"0.0, -0.5",2.0,1.925
136,2.0,2.0,2.6666666666666665,2.0,-1.0,1.0,1.925,+1.0,2.0,1.775
137,1.0,1.0,2.25,2.125,"0.0, -0.5",1.0,1.875,"0.0, +0.5",2.0,1.825
138,1.0,6.0,2.6,3.375,"+1.0, +1.5",1.0,1.85,"-1.0, -1.5",2.0,1.85
139,2.0,1.0,1.6666666666666667,2.0,0.0,1.0,1.8,0.0,2.0,1.9
140,5.0,2.0,2.6666666666666665,2.6666666666666665,-1.0,1.0,1.9,+1.0,2.0,1.8
141,1.0,2.0,2.25,2.3333333333333335,0.0,1.0,1.85,0.0,2.0,1.85
142,7.0,3.0,5.625,2.125,-2.0,1.0,1.8,+2.0,2.0,1.9
143,2.0,4.0,2.6,2.3333333333333335,"0.0, +0.5",1.0,1.9,"0.0, -0.5",2.0,1.8
144,6.0,1.0,5.625,2.75,-1.5,1.0,1.85,+1.5,2.0,1.85
145,3.0,3.0,3.0,2.0,-0.5,1.0,1.8,+0.5,2.0,1.9
146,3.0,1.0,5.625,2.3333333333333335,-1.0,1.0,1.9,+1.0,2.0,1.8
147,4.0,4.0,2.5,2.9,"0.0, -0.5",1.0,1.9,"0.0, +0.5",2.0,1.8
148,4.0,5.0,3.0,3.6666666666666665,0.0,1.0,1.8,0.0,2.0,1.9
149,2.0,4.0,2.5,2.3333333333333335,"0.0, +0.5",1.0,1.9,"0.0, -0.5",2.0,1.8
150,4.0,4.0,2.25,2.9,"0.0, -0.5",1.0,1.925,"0.0, +0.5",2.0,1.775
151,1.0,1.0,2.6666666666666665,3.6666666666666665,-0.5,1.0,1.8,+0.5,2.0,1.9
152,1.0,2.0,1.3333333333333333,2.6666666666666665,"+0.5, +1.0",1.0,1.9,"-0.5, -1.0",2.0,1.8
153,3.0,5.0,1.3333333333333333,3.6666666666666665,0.0,1.0,1.8,0.0,2.0,1.9
154,2.0,4.0,3.0,2.6666666666666665,+1.0,1.0,1.775,-1.0,2.0,1.925
155,4.0,2.0,3.4285714285714284,2.5,,,,,,
156,1.0,4.0,1.7,2.2857142857142856,,,,,,
157,1.0,5.0,1.7,2.6666666666666665,"+0.5, +1.0",1.0,1.825,"-0.5, -1.0",2.0,1.875
158,1.0,2.0,1.5714285714285714,2.5,0.0,1.0,1.8,0.0,2.0,1.9
