,goals_over_under,tot_goals,odd_goals_over1,odd_goals_under1,h2h_mean,media_goals_home,media_victories_home,media_goals_away,media_victories_away
0,2.5,5.0,1.083,7.0,6.0,2.6666666666666665,0.16666666666666666,2.5,0.2
1,2.5,10.0,1.012,13.0,6.0,2.3333333333333335,0.0,3.0,0.6666666666666666
2,2.5,5.0,1.03,10.0,5.0,2.1,0.5,1.3333333333333333,0.0
3,2.5,3.0,1.062,8.0,6.0,1.3333333333333333,0.3333333333333333,3.0,0.6666666666666666
4,,3.0,,,7.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.0
5,,6.0,,,3.0,3.0,0.0,2.5,0.5
6,2.5,1.0,1.083,7.0,7.0,1.3333333333333333,0.3333333333333333,2.5,0.5
7,2.5,6.0,1.015,12.0,,3.0,0.0,1.3333333333333333,0.0
8,,5.0,,,,2.3333333333333335,0.0,2.5,0.5
9,2.5,6.0,1.071,7.5,,3.0,0.0,3.6666666666666665,0.3333333333333333
10,2.5,7.0,1.03,10.0,,2.3333333333333335,0.0,3.6666666666666665,0.3333333333333333
11,2.5,3.0,1.071,7.5,,2.1,0.5,3.0,0.6666666666666666
12,2.5,7.0,1.1,6.5,,2.1,0.5,3.6666666666666665,0.3333333333333333
13,2.5,3.0,1.85,1.95,2.3333333333333335,1.25,0.375,1.625,0.625
14,2.5,4.0,1.363,3.0,3.6666666666666665,0.875,0.125,2.0,0.75
15,2.5,3.0,1.571,2.35,3.0,1.2,0.3,1.625,0.625
16,2.5,1.0,1.65,2.2,3.3333333333333335,1.25,0.375,1.625,0.375
17,2.5,4.0,1.285,3.5,3.0,1.2,0.3,2.0,0.75
18,2.5,1.0,1.363,3.0,3.3333333333333335,2.0,0.75,1.625,0.375
19,2.5,0.0,1.363,3.0,2.3333333333333335,1.2,0.3,1.625,0.375
20,2.5,1.0,1.85,1.95,3.3333333333333335,1.75,0.5,0.75,0.125
21,2.5,1.0,1.615,2.25,2.6666666666666665,1.2,0.3,0.75,0.125
22,2.5,6.0,1.444,2.625,2.6666666666666665,1.75,0.5,1.625,0.625
23,2.5,1.0,1.8,2.0,3.0,2.0,0.75,0.75,0.125
24,2.5,6.0,1.4,2.75,2.5,1.75,0.5,1.625,0.375
25,2.5,3.0,1.571,2.35,3.0,2.0,0.75,1.3,0.5
