,media_goals_home,media_goals_away,asian_handicap1_1,asian_handicap1_2,odds_ah1,ah1_negativa,ah1_positiva,ah1_reembolso
0,2.6666666666666665,2.5,-1.0,-1.0,1.85,False,False,True
2,2.1,1.3333333333333333,0.0,-0.5,1.8,False,True,False
7,3.0,1.3333333333333333,-0.5,-0.5,1.85,True,False,False
12,2.1,3.6666666666666665,-0.5,-0.5,1.85,False,True,False
13,1.25,1.625,0.0,0.0,1.95,True,False,False
14,0.875,2.0,0.0,0.5,1.8,True,False,False
17,1.2,2.0,0.0,0.0,1.9,True,False,False
18,2.0,1.625,0.0,-0.5,1.875,False,True,False
21,1.2,0.75,0.0,0.0,1.9,True,False,False
22,1.75,1.625,0.0,0.0,1.95,True,False,False
23,2.0,0.75,0.0,0.0,1.875,False,True,False
24,1.75,1.625,0.0,-0.5,1.95,False,False,True
25,2.0,1.3,0.0,-0.5,1.9,True,False,False
26,0.875,0.75,0.0,0.0,1.775,False,True,False
29,0.875,1.3,0.0,0.0,1.9,True,False,False
30,1.25,2.0,0.0,0.0,1.9,True,False,False
31,1.25,1.3,0.0,0.0,1.825,True,False,False
32,2.0,2.0,0.0,0.0,1.825,False,False,True
33,1.75,1.0,0.0,-0.5,1.95,False,True,False
35,2.2,1.0,0.0,0.5,1.85,False,True,False
36,1.75,1.8,0.0,0.0,1.875,True,False,False
39,2.2,1.8,0.0,0.0,1.775,False,False,True
40,1.8333333333333333,1.5,0.0,0.0,1.775,True,False,False
41,2.2,1.5,0.0,0.0,1.9,False,False,True
42,1.8333333333333333,1.0,0.0,0.0,1.95,False,True,False
44,1.7,1.5,0.0,0.0,1.775,False,False,True
45,1.8333333333333333,2.9,0.0,0.0,1.8,False,False,True
46,1.7,1.0,0.0,0.0,1.9,False,True,False
49,1.75,2.9,0.0,0.0,1.825,False,True,False
50,2.0,1.875,0.0,-0.5,1.925,False,False,True
55,1.4285714285714286,1.125,0.0,0.0,1.9,False,True,False
56,1.6,1.5,0.0,-0.5,1.875,False,True,False
57,1.4285714285714286,1.5,0.0,0.0,1.775,False,False,True
58,1.0,1.7142857142857142,0.0,0.0,1.775,True,False,False
61,1.6,1.7142857142857142,0.0,-0.5,1.975,True,False,False
62,1.0,1.5,0.0,-0.5,1.95,False,False,True
65,1.0,0.625,0.0,0.0,1.8,True,False,False
66,2.0,1.7,0.0,0.5,1.85,False,True,False
67,2.0,0.625,0.0,0.0,1.9,False,False,True
68,1.375,1.125,0.0,0.0,1.9,False,True,False
69,1.375,0.625,0.0,-0.5,1.9,False,True,False
70,1.6,1.125,0.0,-0.5,1.85,False,False,True
73,3.4444444444444446,1.25,0.0,0.0,1.875,False,True,False
74,3.75,4.25,1.5,2.0,1.85,True,False,False
79,3.4444444444444446,3.0,0.0,-0.5,1.925,False,True,False
80,2.25,1.25,0.0,0.5,1.85,False,True,False
81,2.5,3.0,0.0,-0.5,1.875,False,True,False
82,2.25,4.25,1.5,1.5,1.9,False,True,False
85,2.25,2.555555555555556,0.0,0.5,1.8,True,False,False
86,5.0,1.25,-1.5,-1.5,1.8,False,True,False
87,5.0,2.555555555555556,-1.0,-1.0,1.8,False,True,False
88,3.75,3.0,0.0,0.0,1.875,False,True,False
89,3.75,2.555555555555556,0.0,0.5,1.8,False,False,True
90,2.5,3.0,0.0,-0.5,1.925,True,False,False
95,4.0,2.9,0.0,-0.5,1.875,False,True,False
96,3.25,3.5,1.5,1.5,1.85,False,True,False
97,2.6,2.0,0.5,0.5,1.85,True,False,False
101,4.0,2.4,0.0,-0.5,1.925,False,True,False
103,1.9,1.0,0.5,0.5,1.925,False,True,False
104,2.0,2.6,-1.0,-1.5,1.9,True,False,False
105,3.25,2.4,0.0,-0.5,1.875,False,True,False
106,2.6,3.5,1.0,1.5,1.9,False,True,False
107,1.9,2.6,0.0,-0.5,1.95,True,False,False
108,2.0,2.0,-1.0,-1.0,1.825,False,True,False
121,2.5,2.75,0.0,0.5,1.85,True,False,False
122,5.625,2.9,-1.0,-1.5,1.9,False,True,False
123,2.6,2.3,0.0,0.5,1.775,False,True,False
124,3.333333333333333,1.0,1.0,1.5,1.8,False,True,False
125,2.4444444444444446,2.75,0.0,0.0,1.825,True,False,False
126,2.5,3.375,2.0,2.0,1.85,True,False,False
127,1.3333333333333333,2.6666666666666665,0.5,0.5,1.85,True,False,False
128,2.4444444444444446,2.9,0.0,-0.5,1.8,False,True,False
129,2.25,3.375,1.5,1.5,1.85,False,True,False
130,1.6666666666666667,2.6666666666666665,0.0,0.5,1.8,False,False,True
131,2.4444444444444446,3.375,1.0,1.0,1.85,False,True,False
132,2.6,2.125,0.0,0.5,1.8,False,True,False
133,1.6666666666666667,2.6666666666666665,0.5,0.5,1.925,True,False,False
134,2.4444444444444446,2.125,0.0,-0.5,1.8,False,True,False
135,2.6,2.75,0.0,0.5,1.775,True,False,False
136,2.6666666666666665,2.0,-1.0,-1.0,1.925,True,False,False
137,2.25,2.125,0.0,-0.5,1.875,False,False,True
138,2.6,3.375,1.0,1.5,1.85,True,False,False
139,1.6666666666666667,2.0,0.0,0.0,1.8,False,True,False
140,2.6666666666666665,2.6666666666666665,-1.0,-1.0,1.9,False,True,False
141,2.25,2.333333333333333,0.0,0.0,1.85,True,False,False
142,5.625,2.125,-2.0,-2.0,1.8,False,True,False
143,2.6,2.333333333333333,0.0,0.5,1.9,True,False,False
144,5.625,2.75,-1.5,-1.5,1.85,False,True,False
145,3.0,2.0,-0.5,-0.5,1.8,True,False,False
146,5.625,2.333333333333333,-1.0,-1.0,1.9,False,True,False
147,2.5,2.9,0.0,-0.5,1.9,False,False,True
148,3.0,3.6666666666666665,0.0,0.0,1.8,True,False,False
149,2.5,2.333333333333333,0.0,0.5,1.9,True,False,False
150,2.25,2.9,0.0,-0.5,1.925,False,False,True
151,2.6666666666666665,3.6666666666666665,-0.5,-0.5,1.8,True,False,False
152,1.3333333333333333,2.6666666666666665,0.5,1.0,1.9,False,False,True
153,1.3333333333333333,3.6666666666666665,0.0,0.0,1.8,True,False,False
154,3.0,2.6666666666666665,1.0,1.0,1.775,True,False,False
157,1.7,2.6666666666666665,0.5,1.0,1.825,True,False,False
158,1.5714285714285714,2.5,0.0,0.0,1.8,True,False,False
159,3.4285714285714284,3.0,-0.5,-0.5,1.85,False,True,False
160,3.0,2.6666666666666665,0.0,0.0,1.9,False,True,False
161,1.5714285714285714,2.2857142857142856,0.5,0.5,1.8,True,False,False
162,2.6,3.0,0.5,0.5,1.875,True,False,False
163,3.0,3.2,0.5,0.5,1.925,True,False,False
164,1.5714285714285714,3.0,0.5,0.5,1.85,False,True,False
165,3.4285714285714284,3.142857142857143,0.5,0.5,1.925,True,False,False
166,2.9,1.7,-1.0,-1.0,1.9,False,True,False
167,1.5714285714285714,3.142857142857143,1.0,1.5,1.8,True,False,False
168,3.4285714285714284,2.5,-0.5,-0.5,1.8,True,False,False
169,3.0,1.7,0.0,-0.5,1.95,False,True,False
170,2.9,2.6666666666666665,-1.0,-1.0,1.825,False,True,False
171,2.6,3.142857142857143,1.0,1.0,1.85,False,False,True
172,3.4285714285714284,3.0,0.0,-0.5,1.875,False,True,False
173,1.6666666666666667,1.7,-0.5,-0.5,1.9,True,False,False
174,2.6,2.2857142857142856,0.0,0.0,1.925,False,False,True
175,1.7,3.142857142857143,0.5,0.5,1.85,True,False,False
177,3.4285714285714284,2.2857142857142856,-0.5,-0.5,1.85,False,True,False
178,1.7,2.5,-0.5,-0.5,1.875,True,False,False
179,2.9,2.0,-0.5,-0.5,1.85,False,True,False
180,1.7,2.2857142857142856,-0.5,-0.5,1.9,True,False,False
182,1.7,3.2,1.5,1.5,1.825,True,False,False
183,3.4285714285714284,2.2857142857142856,-1.0,-1.5,1.9,True,False,False
184,2.6,2.2857142857142856,0.5,0.5,1.85,False,True,False
185,1.7,2.0,0.0,0.5,1.775,True,False,False
186,1.6666666666666667,3.2,1.0,1.0,1.775,False,True,False
187,2.6666666666666665,3.1,-1.0,-1.0,1.925,True,False,False
188,3.0,3.1,0.0,0.5,1.775,True,False,False
189,3.0,3.1,0.0,0.0,1.8,False,True,False
190,2.6666666666666665,3.4285714285714284,-0.5,-0.5,1.85,True,False,False
191,3.0,3.1,0.5,0.5,1.8,False,True,False
192,2.6,3.4285714285714284,0.0,0.5,1.875,True,False,False
193,3.0,3.4285714285714284,0.0,0.5,1.85,False,True,False
194,3.0,3.7142857142857135,0.5,0.5,1.925,True,False,False
197,2.6,3.7142857142857135,1.0,1.0,1.85,False,False,True
198,3.0,3.4285714285714284,0.0,-0.5,1.8,False,True,False
199,2.6,2.5,0.0,0.0,1.925,False,False,True
200,3.0,3.7142857142857135,0.5,0.5,1.85,True,False,False
203,3.0,2.5,-0.5,-0.5,1.9,False,True,False
204,2.6666666666666665,3.1,-0.5,-0.5,1.85,True,False,False
205,2.3,2.4,0.0,0.0,1.85,False,True,False
206,1.5,2.8,1.0,1.0,1.825,False,False,True
207,2.7,1.0,-0.5,-0.5,1.9,True,False,False
208,2.3,2.2,0.0,0.0,1.95,False,True,False
209,2.8,2.5,0.0,-0.5,1.85,False,True,False
210,2.4,3.2,0.5,0.5,1.775,True,False,False
213,2.4,3.2,0.0,0.5,1.875,True,False,False
214,2.8,2.6,0.0,-0.5,1.8,True,False,False
215,2.4,2.0,0.0,0.0,1.85,False,True,False
216,2.2,2.5,-1.0,-1.0,1.85,True,False,False
217,2.0,2.6,0.5,0.5,1.825,True,False,False
218,2.4,2.2,0.0,0.0,1.875,False,True,False
219,2.0,2.2,0.0,0.5,1.85,True,False,False
220,2.2,2.6,0.0,-0.5,1.775,True,False,False
221,2.8,3.2,0.5,0.5,1.825,False,True,False
222,2.4,2.5,-0.5,-1.0,1.875,True,False,False
223,2.2,2.0,0.0,0.0,1.825,False,False,True
224,2.4,2.2,0.0,0.0,1.9,True,False,False
225,2.4,2.6,0.0,-0.5,1.85,True,False,False
227,2.4,2.5,-0.5,-0.5,1.9,True,False,False
229,3.5,1.9,0.0,-0.5,1.775,False,True,False
230,1.1,3.8,0.0,0.5,1.775,True,False,False
240,2.9,2.1,-0.5,-0.5,1.775,True,False,False
243,2.9,2.2,0.0,0.0,1.825,True,False,False
244,1.1,2.3,0.0,0.0,1.9,False,True,False
245,2.1,2.1,0.0,-0.5,1.85,False,True,False
246,2.7,3.8,0.5,1.0,1.825,False,True,False
273,1.75,1.2,-0.5,-0.5,1.8,True,False,False
274,2.4,2.4,0.0,0.5,1.825,False,False,True
311,1.75,2.1,0.0,0.5,1.95,False,False,True
312,2.5,3.8,0.5,0.5,1.9,False,True,False
315,2.5,2.6,0.0,-0.5,1.9,False,False,True
316,2.0,2.0,0.0,0.5,1.875,False,False,True
323,2.0,3.8,1.0,1.0,1.85,False,False,True
324,1.75,2.6,-0.5,-1.0,1.875,False,False,True
325,3.125,2.3,0.0,0.0,1.85,False,False,True
326,2.0,1.6,-0.5,-0.5,1.9,True,False,False
327,2.3,2.125,0.0,0.0,1.85,False,False,True
328,1.0,1.5,0.0,0.5,1.75,True,False,False
353,2.0,1.3,-0.5,-0.5,1.925,False,True,False
354,2.857142857142857,2.25,0.5,0.5,1.775,True,False,False
355,1.4,1.9,0.0,0.5,1.8,False,False,True
356,2.125,1.625,0.0,0.0,1.9,True,False,False
357,1.4,3.0,0.0,0.0,1.85,False,False,True
358,3.2,2.8,-0.5,-1.0,1.875,False,False,True
359,2.7,2.0,0.0,0.5,1.85,False,True,False
360,2.1,1.5,-0.5,-0.5,1.825,True,False,False
363,2.125,1.9,0.0,0.0,1.85,False,True,False
364,1.75,1.9,-0.5,-0.5,1.9,True,False,False
369,2.6,3.25,0.0,-0.5,1.9,True,False,False
