id,home,away,home_goals,away_goals,tot_goals,odd_over,odd_under,goals_odd,event_day
172172803,11230361,11230360,3.0,3.0,6.0,1.500,2.500,2.5,20250330
172172805,11260207,11266091,1.0,0.0,1.0,1.111,6.000,2.5,20250330
172172810,11266091,11230360,1.0,1.0,2.0,1.200,4.333,2.5,20250330
172172814,11266091,11230361,1.0,2.0,3.0,1.285,3.500,2.5,20250330
172172828,11230360,11260207,2.0,3.0,5.0,1.083,7.000,2.5,20250330
172172835,11230361,11260207,,,,,,,20250330
172172854,11243091,11261493,,,,1.300,3.400,2.5,20250330
172172861,11224612,11234328,,,,1.111,6.000,2.5,20250330
172172876,11243091,11224612,,,,1.166,4.500,2.5,20250330
172172896,11261493,11224612,0.0,0.0,0.0,1.200,4.333,2.5,20250330
172172845,11234328,11243091,,,,,,,20250330
172172878,11261493,11243091,3.0,1.0,4.0,,,,20250330
172172871,11234328,11261493,0.0,0.0,0.0,1.166,4.500,2.5,20250330
172172881,11234328,11224612,,,,1.142,5.000,2.5,20250330
172204256,11247611,11266447,2.0,0.0,2.0,1.850,1.950,2.5,20250330
172204269,11223684,11235230,0.0,1.0,1.0,1.300,3.400,2.5,20250330
172204278,11235250,11266447,1.0,1.0,2.0,1.444,2.625,2.5,20250330
172204281,11247611,11223684,1.0,2.0,3.0,1.533,2.375,2.5,20250330
172204286,11235250,11235230,1.0,2.0,3.0,1.285,3.500,2.5,20250330
172204290,11266447,11223684,4.0,2.0,6.0,1.400,2.750,2.5,20250330
172204293,11235250,11223684,1.0,3.0,4.0,1.444,2.625,2.5,20250330
172204296,11235230,11247611,2.0,0.0,2.0,1.850,1.950,2.5,20250330
172204298,11235250,11247611,2.0,1.0,3.0,1.950,1.850,2.5,20250330
172204300,11235230,11266447,2.0,1.0,3.0,1.285,3.500,2.5,20250330
172204303,11266447,11247611,3.0,1.0,4.0,,,,20250330
172204306,11235230,11223684,1.0,3.0,4.0,,,,20250330
172204309,11266447,11235250,3.0,1.0,4.0,1.500,2.500,2.5,20250330
172204313,11223684,11247611,2.0,2.0,4.0,1.533,2.375,2.5,20250330
172204323,11235230,11235250,1.0,3.0,4.0,1.363,3.000,2.5,20250330
172204333,11223684,11266447,1.0,2.0,3.0,1.363,3.000,2.5,20250330
172204339,11223684,11235250,1.0,1.0,2.0,1.444,2.625,2.5,20250330
172204350,11247611,11235230,1.0,2.0,3.0,1.850,1.950,2.5,20250330
172204352,11247611,11235250,2.0,0.0,2.0,2.050,1.750,2.5,20250330
172204354,11266447,11235230,1.0,0.0,1.0,1.363,3.000,2.5,20250330
172204356,11250993,11266456,1.0,1.0,2.0,,,,20250330
172204358,11253639,11239016,1.0,3.0,4.0,1.333,3.250,2.5,20250330
172204360,11248824,11266456,4.0,1.0,5.0,1.444,2.625,2.5,20250330
172204362,11250993,11253639,1.0,2.0,3.0,1.600,2.300,2.5,20250330
172204364,11248824,11239016,2.0,2.0,4.0,1.333,3.250,2.5,20250330
172204372,11266456,11253639,1.0,1.0,2.0,1.400,2.750,2.5,20250330
172204378,11239016,11250993,2.0,2.0,4.0,1.850,1.950,2.5,20250330
172204389,11248824,11250993,2.0,2.0,4.0,1.650,2.200,2.5,20250330
172204393,11239016,11266456,3.0,2.0,5.0,1.300,3.400,2.5,20250330
172204395,11266456,11250993,1.0,0.0,1.0,1.800,2.000,2.5,20250330
172204397,11239016,11253639,2.0,2.0,4.0,1.285,3.500,2.5,20250330
172204399,11266456,11248824,4.0,2.0,6.0,,,,20250330
172204401,11253639,11250993,0.0,2.0,2.0,,,,20250330
172204406,11253639,11266456,1.0,0.0,1.0,1.333,3.250,2.5,20250330
172204411,11250993,11239016,1.0,1.0,2.0,1.571,2.350,2.5,20250330
172204415,11250993,11248824,2.0,0.0,2.0,1.533,2.375,2.5,20250330
172204418,11266456,11239016,1.0,1.0,2.0,1.300,3.400,2.5,20250330
172204422,11240399,11237010,2.0,1.0,3.0,2.100,1.700,2.5,20250330
172204432,11245640,11266495,3.0,1.0,4.0,1.333,3.250,2.5,20250330
172204444,11236355,11237010,0.0,3.0,3.0,1.400,2.750,2.5,20250330
172204451,11240399,11245640,1.0,2.0,3.0,1.666,2.150,2.5,20250330
172204456,11236355,11266495,3.0,1.0,4.0,1.500,2.500,2.5,20250330
172204470,11237010,11245640,1.0,3.0,4.0,1.400,2.750,2.5,20250330
172204473,11236355,11245640,1.0,0.0,1.0,1.285,3.500,2.5,20250330
172204484,11266495,11240399,1.0,2.0,3.0,1.615,2.250,2.5,20250330
172204497,11266495,11237010,1.0,2.0,3.0,1.333,3.250,2.5,20250330
172204499,11237010,11240399,1.0,0.0,1.0,1.850,1.950,2.5,20250330
172204502,11266495,11245640,2.0,2.0,4.0,1.285,3.500,2.5,20250330
172204505,11237010,11236355,1.0,0.0,1.0,,,,20250330
172204508,11245640,11240399,2.0,2.0,4.0,,,,20250330
172204511,11266495,11236355,1.0,1.0,2.0,1.285,3.500,2.5,20250330
172204522,11245640,11237010,2.0,3.0,5.0,1.400,2.750,2.5,20250330
172204530,11245640,11236355,1.0,0.0,1.0,,,,20250330
172204534,11240399,11266495,1.0,1.0,2.0,1.650,2.200,2.5,20250330
172204537,11240399,11236355,2.0,0.0,2.0,1.700,2.100,2.5,20250330
172204540,11237010,11266495,3.0,1.0,4.0,1.444,2.625,2.5,20250330
172224488,11266673,11258177,,,,1.125,5.500,2.5,20250330
172224495,11223744,11266672,4.0,0.0,4.0,1.071,7.500,2.5,20250330
172224504,11266673,11223744,3.0,0.0,3.0,1.083,7.000,2.5,20250330
172224500,11266674,11258177,,,,1.071,7.500,2.5,20250330
172224508,11266674,11266672,2.0,4.0,6.0,1.071,7.500,2.5,20250330
172224522,11266674,11223744,2.0,4.0,6.0,1.040,9.000,2.5,20250330
172224526,11266672,11266673,2.0,3.0,5.0,1.166,4.500,2.5,20250330
172224529,11266674,11266673,1.0,4.0,5.0,1.083,7.000,2.5,20250330
172224537,11266672,11223744,4.0,6.0,10.0,1.083,7.000,2.5,20250330
172224553,11223744,11266673,1.0,4.0,5.0,1.083,7.000,2.5,20250330
172224564,11266672,11266674,4.0,2.0,6.0,1.062,8.000,2.5,20250330
172224580,11223744,11266674,1.0,3.0,4.0,1.030,10.000,2.5,20250330
172224583,11266673,11266672,4.0,2.0,6.0,1.125,5.500,2.5,20250330
172224589,11266673,11266674,5.0,0.0,5.0,1.083,7.000,2.5,20250330
172224607,11246020,11252577,4.0,4.0,8.0,1.040,9.000,2.5,20250330
172224621,11266681,11246020,3.0,5.0,8.0,1.083,7.000,2.5,20250330
172224628,11253133,11252577,3.0,3.0,6.0,1.062,8.000,2.5,20250330
172224638,11253133,11246020,5.0,6.0,11.0,1.030,10.000,2.5,20250330
172224647,11252577,11266681,2.0,4.0,6.0,1.111,6.000,2.5,20250330
172224655,11253133,11266681,2.0,3.0,5.0,1.062,8.000,2.5,20250330
172224661,11252577,11246020,6.0,2.0,8.0,1.020,11.000,2.5,20250330
172224665,11246020,11266681,6.0,4.0,10.0,1.040,9.000,2.5,20250330
172224667,11252577,11253133,2.0,2.0,4.0,1.040,9.000,2.5,20250330
172224671,11246020,11253133,3.0,6.0,9.0,1.015,12.000,2.5,20250330
172224674,11266681,11252577,2.0,2.0,4.0,1.062,8.000,2.5,20250330
172190976,11224382,11235358,0.0,0.0,0.0,1.111,6.000,2.5,20250330
172191102,11225716,11227254,1.0,1.0,2.0,1.166,4.500,2.5,20250330
172168220,11235358,11230918,1.0,1.0,2.0,1.222,4.000,2.5,20250330
172191032,11227254,11224382,1.0,1.0,2.0,1.142,5.000,2.5,20250330
172168227,11227254,11230918,4.0,4.0,8.0,1.200,4.333,2.5,20250330
172191111,11225716,11224382,3.0,4.0,7.0,1.062,8.000,2.5,20250330
172168234,11235358,11227254,3.0,3.0,6.0,1.250,3.750,2.5,20250330
172191066,11230918,11225716,2.0,3.0,5.0,1.125,5.500,2.5,20250330
172190958,11224382,11230918,3.0,0.0,3.0,1.166,4.500,2.5,20250330
172191115,11225716,11235358,3.0,4.0,7.0,1.062,8.000,2.5,20250330
172191011,11235358,11224382,4.0,5.0,9.0,,,,20250330
172191026,11227254,11225716,3.0,1.0,4.0,,,,20250330
172168253,11230918,11235358,1.0,4.0,5.0,1.200,4.333,2.5,20250330
172190969,11224382,11227254,2.0,1.0,3.0,1.083,7.000,2.5,20250330
172168255,11230925,11227782,5.0,2.0,7.0,1.166,4.500,2.5,20250330
172191133,11224407,11225747,1.0,1.0,2.0,1.050,8.500,2.5,20250330
172168267,11227782,11235364,2.0,1.0,3.0,1.200,4.333,2.5,20250330
172190982,11225747,11230925,3.0,4.0,7.0,1.142,5.000,2.5,20250330
172190999,11230925,11224407,2.0,3.0,5.0,,,,20250330
172191096,11235364,11225747,6.0,4.0,10.0,1.062,8.000,2.5,20250330
172190988,11225747,11227782,2.0,4.0,6.0,1.125,5.500,2.5,20250330
172191122,11224407,11235364,1.0,4.0,5.0,1.100,6.500,2.5,20250330
172168286,11235364,11230925,0.0,3.0,3.0,1.142,5.000,2.5,20250330
172191018,11227782,11224407,4.0,2.0,6.0,1.111,6.000,2.5,20250330
172168288,11227782,11230925,1.0,3.0,4.0,1.166,4.500,2.5,20250330
172190991,11225747,11224407,5.0,0.0,5.0,1.050,8.500,2.5,20250330
172168310,11235364,11227782,3.0,1.0,4.0,1.200,4.333,2.5,20250330
172191003,11230925,11225747,1.0,1.0,2.0,1.100,6.500,2.5,20250330
172190985,11225747,11235364,3.0,5.0,8.0,1.071,7.500,2.5,20250330
