id,event_day,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2
170065965,20250218,11229403,11230180,3.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065874,20250218,11253260,11243683,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065882,20250218,11253260,11250834,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065880,20250218,11235253,11243683,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065962,20250218,11244637,11230180,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065967,20250218,11253258,11253259,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065959,20250218,11229403,11253258,2.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065938,20250218,11230180,11253258,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065952,20250218,11253259,11230180,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065944,20250218,11229403,11244637,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065864,20250218,11250834,11224733,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065860,20250218,11235253,11253260,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065884,20250218,11250834,11243683,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065934,20250218,11253259,11244637,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065858,20250218,11243683,11224733,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065867,20250218,11235253,11224733,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065890,20250218,11253260,11224733,2.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065997,20250218,11253258,11229403,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065974,20250218,11253258,11244637,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065927,20250218,11250834,11253260,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065853,20250218,11235253,11250834,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065920,20250218,11243683,11235253,4.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
170066010,20250218,11230180,11229403,4.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
170066005,20250218,11230180,11244637,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065915,20250218,11243683,11253260,4.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065907,20250218,11224733,11235253,4.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065993,20250218,11230180,11253259,3.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065989,20250218,11244637,11229403,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065902,20250218,11224733,11250834,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065899,20250218,11253260,11235253,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065982,20250218,11253258,11230180,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065977,20250218,11244637,11253259,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065896,20250218,11224733,11243683,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065893,20250218,11250834,11235253,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065970,20250218,11229403,11253259,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065851,20250218,11224733,11253260,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065780,20250218,11253226,11230248,4.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065841,20250218,11226528,11253227,4.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
170036818,20250218,11253223,11253222,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065792,20250218,11253227,11253226,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065790,20250218,11242395,11230248,4.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
170036816,20250218,11253225,11253223,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170036814,20250218,11253228,11253222,4.0,6.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065784,20250218,11226528,11230248,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065782,20250218,11242395,11253227,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
170036812,20250218,11253225,11253222,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170036810,20250218,11253228,11253224,5.0,6.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065778,20250218,11242395,11226528,2.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
170036801,20250218,11253223,11253224,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170036795,20250218,11253228,11253225,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065774,20250218,11253226,11226528,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170066016,20250218,11253259,11253258,3.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065776,20250218,11230248,11253227,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170036820,20250218,11253225,11253224,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065795,20250218,11242395,11253226,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065802,20250218,11253227,11226528,2.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
170036822,20250218,11253223,11253228,4.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065839,20250218,11253226,11242395,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065835,20250218,11253226,11253227,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065833,20250218,11230248,11242395,2.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065831,20250218,11230248,11226528,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065827,20250218,11253227,11242395,2.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
170036851,20250218,11253223,11253225,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170036848,20250218,11253222,11253228,4.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065845,20250218,11243683,11250834,2.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065824,20250218,11230248,11253226,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
170036843,20250218,11253222,11253225,1.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
170036838,20250218,11253224,11253228,3.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065809,20250218,11253227,11230248,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065807,20250218,11226528,11253226,4.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
170036835,20250218,11253224,11253223,5.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
170036828,20250218,11253225,11253228,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170036825,20250218,11253224,11253222,9.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
170065815,20250218,11226528,11242395,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170066026,20250218,11253259,11229403,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170012872,20250218,11227783,11229846,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170066042,20250218,11229359,11244080,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
170012846,20250218,11227783,11229846,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
170013163,20250218,11225778,11222749,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170013160,20250218,11223254,11226257,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170013158,20250218,11226254,11223254,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
170013155,20250218,11226257,11225778,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170012843,20250218,11227783,11227240,4.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
170012840,20250218,11229846,11226244,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
170013153,20250218,11222749,11226257,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
170013151,20250218,11225778,11226254,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170012838,20250218,11227240,11229846,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
170012836,20250218,11226244,11227783,2.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
170013148,20250218,11223254,11225778,2.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
170013141,20250218,11226254,11222749,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170012833,20250218,11227240,11226244,2.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
170012831,20250218,11227783,11229846,4.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
170012849,20250218,11227240,11226244,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
170012827,20250218,11227783,11227240,1.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
