,id,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2,event_day,media_goals_home,media_victories_home,media_goals_away,media_victories_away,h2h_mean,home_h2h_mean,away_h2h_mean,res_goals_over_under,asian_handicap1_1,asian_handicap1_2,asian_handicap2_1,asian_handicap2_2,diff_goals,classificacao_ah1,classificacao_ah2,ah1_positivo,ah1_negativo,ah1_reembolso,ah1_indefinido,ah2_positivo,ah2_negativo,ah2_reembolso,ah2_indefinido,goal_line1_1,goal_line1_2,goal_line2_1,goal_line2_2,gl1_indefinido,gl1_negativo,gl1_positivo,gl1_reembolso,gl2_indefinido,gl2_negativo,gl2_positivo,gl2_reembolso,res_double_chance1,res_double_chance2,res_double_chance3,dnb1_ganha,dnb1_indefinido,dnb1_perde,dnb1_reembolso,dnb2_ganha,dnb2_indefinido,dnb2_perde,dnb2_reembolso
0,173475178,11273893,11229358,1.0,3.0,4.0,2.5,1.142,5.000,-0.5,1,1.800,+0.5,2,1.900,4.5,1.0,1.850,4.5,2.0,1.850,Juventus (Aladdin) or Draw,1.300,Draw or AC Milan (Molotov),1.833,Juventus (Aladdin) or AC Milan (Molotov),1.125,1,1.444,2,2.625,20250424,,,,,,,,True,-0.5,-0.5,0.5,0.5,-2.0,negativo,positivo,False,True,False,False,True,False,False,False,4.5,4.5,4.5,4.5,False,True,False,False,False,False,True,False,0,1,1,False,False,True,False,True,False,False,False
1,173475189,11267831,11257458,4.0,1.0,5.0,2.5,1.444,2.625,"0.0, -0.5",1,1.925,"0.0, +0.5",2,1.775,"3.0, 3.5",1.0,1.825,"3.0, 3.5",2.0,1.875,Lazio (Romeo) or Draw,1.363,Draw or Napoli (val),1.550,Lazio (Romeo) or Napoli (val),1.250,1,1.666,2,2.100,20250424,,,,,,,,True,0.0,-0.5,0.0,0.5,3.0,positivo,negativo,True,False,False,False,False,True,False,False,3.0,3.5,3.0,3.5,False,False,True,False,False,True,False,False,1,0,1,True,False,False,False,False,False,True,False
2,173475197,11233896,11269837,,,,2.5,1.142,5.000,"+0.5, +1.0",1,1.850,"-0.5, -1.0",2,1.850,4.5,1.0,1.850,4.5,2.0,1.850,Arsenal (Aladdin) or Draw,2.000,Draw or Inter (Romeo),1.250,Arsenal (Aladdin) or Inter (Romeo),1.125,1,2.750,2,1.400,20250424,,,,,,,,False,0.5,1.0,-0.5,-1.0,,indefinido,indefinido,False,False,False,True,False,False,False,True,4.5,4.5,4.5,4.5,True,False,False,False,True,False,False,False,0,0,1,False,True,False,False,False,True,False,False
3,173475201,11258262,11224472,3.0,3.0,6.0,2.5,1.200,4.333,"0.0, -0.5",1,1.825,"0.0, +0.5",2,1.875,"4.0, 4.5",1.0,1.850,"4.0, 4.5",2.0,1.850,Real Madrid (Xerxes) or Draw,1.400,Draw or PSG (val),1.666,Real Madrid (Xerxes) or PSG (val),1.166,1,1.615,2,2.200,20250424,,,,,,,,True,0.0,-0.5,0.0,0.5,0.0,reembolso,reembolso,False,False,True,False,False,False,True,False,4.0,4.5,4.0,4.5,False,False,True,False,False,True,False,False,1,1,0,False,False,False,True,False,False,False,True
4,173475204,11246130,11269837,3.0,0.0,3.0,2.5,1.300,3.400,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,True,,,,,3.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,False,True,False,False,False,True,False,False
5,173475207,11233896,11258262,1.0,2.0,3.0,2.5,1.083,7.000,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,True,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,True,False,False,False,True,False,False
6,173475209,11246130,11224472,2.0,2.0,4.0,2.5,1.285,3.500,0.0,1,1.875,0.0,2,1.825,"3.5, 4.0",1.0,1.850,"3.5, 4.0",2.0,1.850,Bayern (Molotov) or Draw,1.500,Draw or PSG (val),1.444,Bayern (Molotov) or PSG (val),1.222,1,1.833,2,1.833,20250424,,,,,,,,True,0.0,0.0,0.0,0.0,0.0,reembolso,reembolso,False,False,True,False,False,False,True,False,3.5,4.0,3.5,4.0,False,False,False,True,False,False,False,True,1,1,0,False,False,False,True,False,False,False,True
7,173475213,11269837,11258262,3.0,5.0,8.0,2.5,1.166,4.500,,,,,,,,,,,,,Inter (Romeo) or Draw,1.444,Draw or Real Madrid (Xerxes),1.571,Inter (Romeo) or Real Madrid (Xerxes),1.181,1,1.727,2,2.000,20250424,,,,,,,,True,,,,,-2.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
8,173475215,11246130,11258262,3.0,2.0,5.0,2.5,1.166,4.500,+0.5,1,1.825,-0.5,2,1.875,"4.0, 4.5",1.0,1.825,"4.0, 4.5",2.0,1.875,Bayern (Molotov) or Draw,1.800,Draw or Real Madrid (Xerxes),1.300,Bayern (Molotov) or Real Madrid (Xerxes),1.166,1,2.500,2,1.500,20250424,,,,,,,,True,0.5,0.5,-0.5,-0.5,1.0,positivo,negativo,True,False,False,False,False,True,False,False,4.0,4.5,4.0,4.5,False,False,True,False,False,True,False,False,1,0,1,True,False,False,False,False,False,True,False
9,173475217,11224472,11233896,4.0,2.0,6.0,2.5,1.166,4.500,"-0.5, -1.0",1,1.850,"+0.5, +1.0",2,1.850,4.5,1.0,1.875,4.5,2.0,1.825,PSG (val) or Draw,1.250,Draw or Arsenal (Aladdin),1.950,PSG (val) or Arsenal (Aladdin),1.125,1,1.400,2,2.750,20250424,,,,,,,,True,-0.5,-1.0,0.5,1.0,2.0,positivo,negativo,True,False,False,False,False,True,False,False,4.5,4.5,4.5,4.5,False,False,True,False,False,True,False,False,1,0,1,True,False,False,False,False,False,True,False
10,173475219,11246130,11233896,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,-2.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,True,False,False,False,True,False,False
11,173475223,11224472,11269837,3.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,2.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,False,True,False,False,False,True,False,False
12,173475227,11269837,11233896,5.0,2.0,7.0,2.5,1.142,5.000,,,,,,,,,,,,,Inter (Romeo) or Draw,1.250,Draw or Arsenal (Aladdin),1.950,Inter (Romeo) or Arsenal (Aladdin),1.142,1,1.400,2,2.750,20250424,,,,,,,,True,,,,,3.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,True,False,False,False,False,False,True,False
13,173475229,11224472,11258262,4.0,3.0,7.0,2.5,1.200,4.333,,,,,,,,,,,,,PSG (val) or Draw,1.666,Draw or Real Madrid (Xerxes),1.363,PSG (val) or Real Madrid (Xerxes),1.166,1,2.200,2,1.615,20250424,,,,,,,,True,,,,,1.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,True,False,False,False,False,False,True,False
14,173475233,11269837,11246130,1.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,-4.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,True,False,False,False,True,False,False
15,173475242,11258262,11233896,2.0,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,20250424,,,,,,,,False,,,,,-3.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,0,1,1,False,True,False,False,False,True,False,False
16,173475249,11224472,11246130,2.0,0.0,2.0,2.5,1.285,3.500,,,,,,,,,,,,,PSG (val) or Draw,1.444,Draw or Bayern (Molotov),1.533,PSG (val) or Bayern (Molotov),1.222,1,1.800,2,1.909,20250424,,,,,,,,False,,,,,2.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,True,False,False,False,False,False,True,False
17,173475251,11258262,11269837,4.0,2.0,6.0,2.5,1.142,5.000,,,,,,,,,,,,,Real Madrid (Xerxes) or Draw,1.571,Draw or Inter (Romeo),1.444,Real Madrid (Xerxes) or Inter (Romeo),1.166,1,2.000,2,1.727,20250424,,,,,,,,True,,,,,2.0,indefinido,indefinido,False,False,False,True,False,False,False,True,,,,,True,False,False,False,True,False,False,False,1,0,1,True,False,False,False,False,False,True,False
18,173475253,11258262,11246130,2.0,1.0,3.0,2.5,1.166,4.500,-0.5,1,1.800,+0.5,2,1.900,"4.0, 4.5",1.0,1.800,"4.0, 4.5",2.0,1.900,Real Madrid (Xerxes) or Draw,1.285,Draw or Bayern (Molotov),1.833,Real Madrid (Xerxes) or Bayern (Molotov),1.166,1,1.444,2,2.625,20250424,,,,,,,,True,-0.5,-0.5,0.5,0.5,1.0,positivo,negativo,True,False,False,False,False,True,False,False,4.0,4.5,4.0,4.5,False,True,False,False,False,False,True,False,1,0,1,True,False,False,False,False,False,True,False
19,173475255,11233896,11224472,1.0,1.0,2.0,2.5,1.125,5.500,+0.5,1,1.800,-0.5,2,1.900,"4.5, 5.0",1.0,1.875,"4.5, 5.0",2.0,1.825,Arsenal (Aladdin) or Draw,1.727,Draw or PSG (val),1.333,Arsenal (Aladdin) or PSG (val),1.142,1,2.250,2,1.571,20250424,,,,,,,,False,0.5,0.5,-0.5,-0.5,0.0,positivo,negativo,True,False,False,False,False,True,False,False,4.5,5.0,4.5,5.0,False,True,False,False,False,False,True,False,1,1,0,False,False,False,True,False,False,False,True
20,173475257,11233896,11246130,3.0,2.0,5.0,2.5,1.142,5.000,-0.5,1,1.800,+0.5,2,1.900,4.5,1.0,1.825,4.5,2.0,1.875,Arsenal (Aladdin) or Draw,1.300,Draw or Bayern (Molotov),1.833,Arsenal (Aladdin) or Bayern (Molotov),1.125,1,1.444,2,2.625,20250424,,,,,,,,True,-0.5,-0.5,0.5,0.5,1.0,positivo,negativo,True,False,False,False,False,True,False,False,4.5,4.5,4.5,4.5,False,False,True,False,False,True,False,False,1,0,1,True,False,False,False,False,False,True,False
21,173475259,11269837,11224472,4.0,3.0,7.0,2.5,1.333,3.250,0.0,1,1.850,0.0,2,1.850,"3.5, 4.0",1.0,1.900,"3.5, 4.0",2.0,1.800,Inter (Romeo) or Draw,1.444,Draw or PSG (val),1.444,Inter (Romeo) or PSG (val),1.250,1,1.833,2,1.833,20250424,,,,,,,,True,0.0,0.0,0.0,0.0,1.0,positivo,negativo,True,False,False,False,False,True,False,False,3.5,4.0,3.5,4.0,False,False,True,False,False,True,False,False,1,0,1,True,False,False,False,False,False,True,False
22,173480516,11237009,11243093,3.0,4.0,7.0,2.5,1.444,2.625,0.0,1,1.825,0.0,2,1.875,"3.0, 3.5",1.0,1.850,"3.0, 3.5",2.0,1.850,Lazio (Spartacus) or Draw,1.363,Draw or A.Bilbao (Nio),1.500,Lazio (Spartacus) or A.Bilbao (Nio),1.285,1,1.727,2,2.000,20250424,,,,,,,,True,0.0,0.0,0.0,0.0,-1.0,negativo,positivo,False,True,False,False,True,False,False,False,3.0,3.5,3.0,3.5,False,False,True,False,False,True,False,False,0,1,1,False,False,True,False,True,False,False,False
