,home,away,home_goals,away_goals,media_goals_home,media_goals_away,media_victories_home,media_victories_away,home_h2h_mean,away_h2h_mean,odds,indefinido,perde,ganha,reembolso,draw_no_bet_team_1.0,draw_no_bet_team_2.0
0,11266681,11253133,4.0,1.0,3.0,1.8,0.4,0.0,3.0,2.0,1.25,False,False,True,False,True,False
1,11253222,11252577,1.0,1.0,1.8,3.0,0.0,0.2,,,3.25,False,False,False,True,True,False
2,11254866,11267014,2.0,0.0,2.6,2.5,0.8,0.5,,,1.333,False,False,True,False,True,False
3,11246044,11266685,0.0,4.0,1.8,3.2,0.0,0.6,4.0,6.0,1.909,False,True,False,False,True,False
4,11266699,11267014,2.0,2.0,2.0,2.5,0.4,0.5,,,1.8,False,False,False,True,True,False
5,11254866,11246044,2.0,3.0,2.6,2.6,0.8,0.2,4.0,1.0,1.5,False,True,False,False,True,False
6,11266699,11266685,2.0,3.0,2.0,3.2,0.4,0.6,1.0,2.0,2.25,False,True,False,False,True,False
7,11267014,11246044,4.0,4.0,3.0,2.6,0.5,0.2,,,2.5,False,False,False,True,True,False
8,11266699,11246044,4.0,3.0,2.0,2.6,0.4,0.2,3.0,0.0,2.375,False,False,True,False,True,False
9,11266685,11254866,1.0,1.0,2.8,1.4,0.4,0.2,3.0,3.0,2.625,False,False,False,True,True,False
10,11266699,11254866,1.0,0.0,2.0,1.4,0.4,0.2,0.0,1.0,3.25,False,False,True,False,True,False
11,11266685,11267014,2.0,4.0,2.8,2.5,0.4,0.5,,,1.3,False,True,False,False,True,False
12,11267014,11254866,0.0,0.0,3.0,1.4,0.5,0.2,,,3.5,False,False,False,True,True,False
13,11266685,11246044,3.0,2.0,2.8,2.6,0.4,0.2,3.0,3.0,1.833,False,False,True,False,True,False
14,11267014,11266699,3.0,1.0,3.0,2.6,0.5,0.2,,,1.909,False,False,True,False,True,False
15,11246044,11254866,0.0,3.0,1.8,1.4,0.0,0.2,1.0,4.0,2.75,False,True,False,False,True,False
16,11266685,11266699,5.0,3.0,2.8,2.6,0.4,0.2,3.0,3.0,1.533,False,False,True,False,True,False
17,11246044,11267014,1.0,4.0,1.8,2.5,0.0,0.5,,,1.571,False,True,False,False,True,False
18,11246044,11266699,4.0,5.0,1.8,2.6,0.0,0.2,2.0,5.0,1.615,False,True,False,False,True,False
19,11254866,11266685,3.0,1.0,2.6,3.2,0.8,0.6,2.0,1.0,1.5,False,False,True,False,True,False
20,11254866,11266699,2.0,1.0,2.6,2.6,0.8,0.2,4.0,3.0,1.222,False,False,True,False,True,False
21,11267014,11266685,5.0,2.0,3.0,3.2,0.5,0.6,,,2.5,False,False,True,False,True,False
22,11233896,11242982,2.0,1.0,2.0,1.5,0.6,0.25,,,1.615,False,False,True,False,True,False
23,11258262,11267050,3.0,3.0,2.4,3.5,0.2,0.5,,,1.666,False,False,False,True,True,False
24,11225313,11242982,0.0,0.0,2.0,1.5,0.5,0.25,,,1.727,False,False,False,True,True,False
25,11233896,11258262,2.0,1.0,2.0,1.4,0.6,0.4,,,1.666,False,False,True,False,True,False
26,11225313,11267050,3.0,1.0,2.0,3.5,0.5,0.5,,,,True,False,False,False,False,False
27,11242982,11258262,0.0,1.0,1.25,1.4,0.0,0.4,,,,True,False,False,False,False,False
28,11225313,11258262,1.0,1.0,2.0,1.4,0.5,0.4,,,1.8,False,False,False,True,True,False
29,11267050,11233896,4.0,2.0,3.25,2.6,0.75,0.4,,,2.375,False,False,True,False,True,False
30,11225313,11233896,4.0,1.0,2.0,2.6,0.5,0.4,,,2.0,False,False,True,False,True,False
31,11267050,11242982,4.0,2.0,3.25,1.5,0.75,0.25,,,2.1,False,False,True,False,True,False
32,11242982,11233896,2.0,3.0,1.25,2.6,0.0,0.4,,,2.375,False,True,False,False,True,False
33,11267050,11258262,1.0,1.0,3.25,1.4,0.75,0.4,,,2.1,False,False,False,True,True,False
34,11242982,11225313,1.0,2.0,1.25,1.75,0.0,0.5,,,2.0,False,True,False,False,True,False
35,11258262,11233896,5.0,4.0,2.4,2.6,0.2,0.4,,,2.2,False,False,True,False,True,False
36,11267050,11225313,4.0,2.0,3.25,1.75,0.75,0.5,,,1.909,False,False,True,False,True,False
37,11258262,11242982,1.0,3.0,2.4,1.5,0.2,0.25,,,1.8,False,True,False,False,True,False
38,11258262,11225313,0.0,1.0,2.4,1.75,0.2,0.5,,,1.909,False,True,False,False,True,False
39,11233896,11267050,1.0,5.0,2.0,3.5,0.6,0.5,,,1.571,False,True,False,False,True,False
40,11233896,11225313,3.0,2.0,2.0,1.75,0.6,0.5,,,1.571,False,False,True,False,True,False
41,11242982,11267050,2.0,5.0,1.25,3.5,0.0,0.5,,,1.727,False,True,False,False,True,False
42,11233842,11267070,1.0,3.0,1.5,3.0,0.0,0.75,,,1.5,False,True,False,False,True,False
43,11243963,11267069,1.0,1.0,2.0,2.75,0.0,0.25,,,1.666,False,False,False,True,True,False
44,11225333,11267070,1.0,3.0,1.5,3.0,0.25,0.75,,,,True,False,False,False,False,False
45,11233842,11243963,0.0,2.0,1.5,2.25,0.0,0.5,,,,True,False,False,False,False,False
46,11225333,11267069,1.0,1.0,1.5,2.75,0.25,0.25,,,1.8,False,False,False,True,True,False
47,11267070,11243963,4.0,2.0,3.25,2.25,0.75,0.5,,,1.909,False,False,True,False,True,False
48,11225333,11243963,1.0,3.0,1.5,2.25,0.25,0.5,,,1.8,False,True,False,False,True,False
49,11267069,11233842,5.0,1.0,2.75,1.5,0.25,0.0,,,2.25,False,False,True,False,True,False
50,11225333,11233842,3.0,0.0,1.5,1.5,0.25,0.0,,,2.0,False,False,True,False,True,False
51,11267069,11267070,2.0,4.0,2.75,3.0,0.25,0.75,,,1.833,False,True,False,False,True,False
52,11267070,11233842,4.0,1.0,3.25,1.5,0.75,0.0,,,2.375,False,False,True,False,True,False
53,11267069,11243963,2.0,2.0,2.75,2.25,0.25,0.5,,,2.2,False,False,False,True,True,False
54,11267070,11225333,2.0,2.0,3.25,2.5,0.75,0.5,,,2.0,False,False,False,True,True,False
55,11243963,11233842,4.0,4.0,2.0,1.5,0.0,0.0,,,2.0,False,False,False,True,True,False
56,11267069,11225333,2.0,4.0,2.75,2.5,0.25,0.5,,,2.1,False,True,False,False,True,False
57,11243963,11267070,2.0,2.0,2.0,3.0,0.0,0.75,,,2.1,False,False,False,True,True,False
58,11243963,11225333,1.0,1.0,2.0,2.5,0.0,0.5,,,1.909,False,False,False,True,True,False
59,11233842,11267069,3.0,7.0,1.5,2.75,0.0,0.25,,,1.666,False,True,False,False,True,False
60,11233842,11225333,2.0,3.0,1.5,2.5,0.0,0.5,,,1.666,False,True,False,False,True,False
61,11267070,11267069,3.0,2.0,3.25,2.75,0.75,0.25,,,1.666,False,False,True,False,True,False
62,11231524,11235948,3.0,1.0,2.0,3.2,0.25,0.8,,,,True,False,False,False,False,False
63,11241177,11267132,0.0,2.0,2.0,2.5,0.25,0.75,,,,True,False,False,False,False,False
64,11225413,11235948,2.0,4.0,2.25,3.2,0.5,0.8,,,1.727,False,True,False,False,True,False
65,11231524,11241177,2.0,3.0,2.0,2.5,0.25,0.75,,,1.727,False,True,False,False,True,False
66,11225413,11267132,1.0,3.0,2.25,2.5,0.5,0.75,,,1.666,False,True,False,False,True,False
67,11235948,11241177,1.0,2.0,1.0,2.5,0.0,0.75,,,1.833,False,True,False,False,True,False
68,11225413,11241177,2.0,1.0,2.25,2.5,0.5,0.75,,,,True,False,False,False,False,False
69,11267132,11231524,4.0,2.0,2.75,2.0,0.25,0.25,,,1.5,False,False,True,False,True,False
70,11225413,11231524,4.0,2.0,2.25,2.0,0.5,0.25,,,1.833,False,False,True,False,True,False
71,11267132,11235948,2.0,5.0,2.75,3.2,0.25,0.8,,,1.833,False,True,False,False,True,False
72,11235948,11231524,2.0,2.0,1.0,2.0,0.0,0.25,,,2.25,False,False,False,True,True,False
73,11267132,11241177,3.0,4.0,2.75,2.5,0.25,0.75,,,1.615,False,True,False,False,True,False
74,11235948,11225413,0.0,3.0,1.0,2.5,0.0,0.5,,,1.909,False,True,False,False,True,False
75,11241177,11231524,1.0,2.0,2.0,2.0,0.25,0.25,,,1.833,False,True,False,False,True,False
