id,event_day,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2
173142746,20250417,11257322,11235643,5,2,7,2.5,1.083,7.000,,,,,,,,,,,,,A.Bilbao (Zangief) or Draw,1.800,Draw or Fenerbahce (Goliath),1.333,A.Bilbao (Zangief) or Fenerbahce (Goliath),1.125,1,2.375,2,1.533
173142751,20250417,11254866,11272099,0,0,0,2.5,1.142,5.000,"0.0, -0.5",1,1.825,"0.0, +0.5",2,1.875,4.5,1.0,1.925,4.5,2.0,1.775,Chelsea (Hussein) or Draw,1.363,Draw or Newcastle (Goliath),1.666,Chelsea (Hussein) or Newcastle (Goliath),1.181,1,1.615,2,2.200
173142753,20250417,11245282,11240218,4,2,6,2.5,1.062,8.000,-0.5,1,1.850,+0.5,2,1.850,"5.0, 5.5",1.0,1.800,"5.0, 5.5",2.0,1.900,Man City (Ivan) or Draw,1.333,Draw or Arsenal (Zangief),1.800,Man City (Ivan) or Arsenal (Zangief),1.125,1,1.533,2,2.375
173142757,20250417,11245282,11272099,3,4,7,2.5,1.100,6.500,,,,,,,,,,,,,Man City (Ivan) or Draw,1.444,Draw or Newcastle (Goliath),1.615,Man City (Ivan) or Newcastle (Goliath),1.166,1,1.666,2,2.100
173142759,20250417,11240218,11254866,1,3,4,2.5,1.222,4.000,,,,,,,,,,,,,Arsenal (Zangief) or Draw,1.444,Draw or Chelsea (Hussein),1.533,Arsenal (Zangief) or Chelsea (Hussein),1.222,1,1.833,2,1.833
173142761,20250417,11245282,11254866,2,0,2,2.5,1.200,4.333,,,,,,,,,,,,,Man City (Ivan) or Draw,1.666,Draw or Chelsea (Hussein),1.444,Man City (Ivan) or Chelsea (Hussein),1.125,1,2.100,2,1.666
173142768,20250417,11272099,11240218,3,2,5,2.5,1.083,7.000,,,,,,,,,,,,,Newcastle (Goliath) or Draw,1.500,Draw or Arsenal (Zangief),1.571,Newcastle (Goliath) or Arsenal (Zangief),1.125,1,1.800,2,1.909
173142782,20250417,11272099,11254866,2,1,3,2.5,1.222,4.000,"0.0, +0.5",1,1.875,"0.0, -0.5",2,1.825,4.0,1.0,1.900,4.0,2.0,1.800,Newcastle (Goliath) or Draw,1.615,Draw or Chelsea (Hussein),1.333,Newcastle (Goliath) or Chelsea (Hussein),1.200,1,2.200,2,1.615
173142786,20250417,11240218,11245282,2,1,3,2.5,1.050,8.500,,,,,,,,,,,,,Arsenal (Zangief) or Draw,1.600,Draw or Man City (Ivan),1.444,Arsenal (Zangief) or Man City (Ivan),1.125,1,2.000,2,1.727
173142791,20250417,11272099,11245282,2,4,6,2.5,1.071,7.500,"0.0, +0.5",1,1.800,"0.0, -0.5",2,1.900,"5.0, 5.5",1.0,1.825,"5.0, 5.5",2.0,1.875,Newcastle (Goliath) or Draw,1.600,Draw or Man City (Ivan),1.444,Newcastle (Goliath) or Man City (Ivan),1.142,1,2.000,2,1.727
173142793,20250417,11254866,11240218,2,2,4,2.5,1.222,4.000,-0.5,1,1.850,+0.5,2,1.850,4.0,1.0,1.875,4.0,2.0,1.825,Chelsea (Hussein) or Draw,1.333,Draw or Arsenal (Zangief),1.800,Chelsea (Hussein) or Arsenal (Zangief),1.125,1,1.533,2,2.375
173142796,20250417,11254866,11245282,2,2,4,2.5,1.222,4.000,,,,,,,,,,,,,Chelsea (Hussein) or Draw,1.363,Draw or Man City (Ivan),1.615,Chelsea (Hussein) or Man City (Ivan),1.181,1,1.615,2,2.200
173142802,20250417,11240218,11272099,3,3,6,2.5,1.071,7.500,+0.5,1,1.850,-0.5,2,1.850,"5.0, 5.5",1.0,1.850,"5.0, 5.5",2.0,1.850,Arsenal (Zangief) or Draw,1.800,Draw or Newcastle (Goliath),1.333,Arsenal (Zangief) or Newcastle (Goliath),1.125,1,2.375,2,1.533
173156644,20250417,11258320,11272361,2,1,3,2.5,1.071,7.500,+1.0,1,1.850,-1.0,2,1.850,"5.0, 5.5",1.0,1.875,"5.0, 5.5",2.0,1.825,Nottm Forest (Boss) or Draw,2.150,Draw or Arsenal (Giant),1.222,Nottm Forest (Boss) or Arsenal (Giant),1.111,1,3.250,2,1.333
173156650,20250417,11261007,11258979,0,2,2,2.5,1.062,8.000,0.0,1,1.850,0.0,2,1.850,"5.0, 5.5",1.0,1.800,"5.0, 5.5",2.0,1.900,Chelsea (Jetli) or Draw,1.533,Draw or Newcastle (Mariner),1.533,Chelsea (Jetli) or Newcastle (Mariner),1.125,1,1.833,2,1.833
173156654,20250417,11262102,11272361,2,5,7,2.5,1.083,7.000,"0.0, +0.5",1,1.850,"0.0, -0.5",2,1.850,"5.0, 5.5",1.0,1.900,"5.0, 5.5",2.0,1.800,,,,,,,,,,
