id,event_day,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2
173570557,20250425,11230051,11248893,3.0,0.0,3.0,2.5,1.200,4.333,"+0.5, +1.0",1,1.800,"-0.5, -1.0",2,1.900,"4.0, 4.5",1.0,1.875,"4.0, 4.5",2.0,1.825,Lazio (Zangief) or Draw,1.909,Draw or Napoli (Hussein),1.250,Lazio (Zangief) or Napoli (Hussein),1.166,1,2.750,2,1.400
173570581,20250425,11230176,11222643,1.0,4.0,5.0,2.5,1.111,6.000,0.0,1,1.925,0.0,2,1.775,5.0,1.0,1.900,5.0,2.0,1.800,Juventus (Ivan) or Draw,1.600,Draw or AC Milan (Goliath),1.500,Juventus (Ivan) or AC Milan (Goliath),1.125,1,1.909,2,1.800
173570270,20250425,11240293,11265823,2.0,5.0,7.0,2.5,1.200,4.333,,,,,,,,,,,,,Real Madrid (Thor) or Draw,1.444,Draw or PSG (Hussein),1.600,Real Madrid (Thor) or PSG (Hussein),1.166,1,1.727,2,2.000
173570920,20250425,11230252,11233889,0.0,3.0,3.0,2.5,1.100,6.500,,,,,,,,,,,,,Arsenal (Ivan) or Draw,1.400,Draw or Inter (Zangief),1.666,Arsenal (Ivan) or Inter (Zangief),1.142,1,1.666,2,2.100
173570853,20250425,11255372,11233889,3.0,0.0,3.0,2.5,1.062,8.000,,,,,,,,,,,,,Bayern (Goliath) or Draw,1.400,Draw or Inter (Zangief),1.800,Bayern (Goliath) or Inter (Zangief),1.111,1,1.615,2,2.200
173570928,20250425,11230252,11240293,2.0,5.0,7.0,2.5,1.166,4.500,"+1.0, +1.5",1,1.825,"-1.0, -1.5",2,1.875,4.5,1.0,1.875,4.5,2.0,1.825,Arsenal (Ivan) or Draw,1.800,Draw or Real Madrid (Thor),1.333,Arsenal (Ivan) or Real Madrid (Thor),1.142,1,2.375,2,1.533
173570622,20250425,11233889,11240293,1.0,4.0,5.0,2.5,1.100,6.500,"+0.5, +1.0",1,1.900,"-0.5, -1.0",2,1.800,5.0,1.0,1.900,5.0,2.0,1.800,Inter (Zangief) or Draw,2.100,Draw or Real Madrid (Thor),1.250,Inter (Zangief) or Real Madrid (Thor),1.125,1,3.000,2,1.363
173570847,20250425,11255372,11265823,4.0,2.0,6.0,2.5,1.125,5.500,"0.0, +0.5",1,1.875,"0.0, -0.5",2,1.825,"4.5, 5.0",1.0,1.850,"4.5, 5.0",2.0,1.850,Bayern (Goliath) or Draw,1.666,Draw or PSG (Hussein),1.400,Bayern (Goliath) or PSG (Hussein),1.142,1,2.200,2,1.615
173570378,20250425,11265823,11230252,4.0,2.0,6.0,2.5,1.125,5.500,"0.0, -0.5",1,1.800,"0.0, +0.5",2,1.900,"4.5, 5.0",1.0,1.850,"4.5, 5.0",2.0,1.850,PSG (Hussein) or Draw,1.363,Draw or Arsenal (Ivan),1.666,PSG (Hussein) or Arsenal (Ivan),1.166,1,1.615,2,2.200
173570856,20250425,11255372,11240293,1.0,3.0,4.0,2.5,1.100,6.500,+0.5,1,1.850,-0.5,2,1.850,5.0,1.0,1.850,5.0,2.0,1.850,Bayern (Goliath) or Draw,1.800,Draw or Real Madrid (Thor),1.333,Bayern (Goliath) or Real Madrid (Thor),1.125,1,2.375,2,1.533
