,h2h_mean,media_goals_home,media_goals_away,goal_line_1,goal_line_2,indefinido,negativo,positivo,reembolso,type_1.0,type_2.0
0,5.0,3.0,1.8,5.0,5.5,False,False,False,True,True,False
1,,1.8,3.0,5.5,5.5,False,True,False,False,True,False
2,,2.6,2.5,,,True,False,False,False,False,False
3,10.0,1.8,3.2,,,True,False,False,False,False,False
4,,2.0,2.5,,,True,False,False,False,False,False
5,5.0,2.6,2.6,,,True,False,False,False,False,False
6,3.0,2.0,3.2,5.0,5.5,False,False,False,True,True,False
7,,3.0,2.6,4.5,5.0,False,False,True,False,True,False
8,3.0,2.0,2.6,,,True,False,False,False,False,False
9,6.0,2.8,1.4,,,True,False,False,False,False,False
10,1.0,2.0,1.4,,,True,False,False,False,False,False
11,,2.8,2.5,,,True,False,False,False,False,False
12,,3.0,1.4,4.0,4.5,False,True,False,False,True,False
13,6.0,2.8,2.6,5.0,5.5,False,False,False,True,True,False
14,,3.0,2.6,5.0,5.0,False,True,False,False,True,False
15,5.0,1.8,1.4,5.0,5.0,False,True,False,False,True,False
16,6.0,2.8,2.6,5.0,5.5,False,False,True,False,True,False
17,,1.8,2.5,5.5,5.5,False,True,False,False,True,False
18,7.0,1.8,2.6,,,True,False,False,False,False,False
19,3.0,2.6,3.2,,,True,False,False,False,False,False
20,7.0,2.6,2.6,4.5,5.0,False,True,False,False,True,False
21,,3.0,3.2,5.0,5.5,False,False,True,False,True,False
22,,2.0,1.5,5.0,5.5,False,True,False,False,True,False
23,,2.4,3.5,4.5,4.5,False,False,True,False,True,False
24,,2.0,1.5,4.0,4.5,False,True,False,False,True,False
25,,2.0,1.4,5.0,5.0,False,True,False,False,True,False
26,,2.0,3.5,,,True,False,False,False,False,False
27,,1.25,1.4,,,True,False,False,False,False,False
28,,2.0,1.4,,,True,False,False,False,False,False
29,,3.25,2.6,,,True,False,False,False,False,False
30,,2.0,2.6,4.0,4.5,False,False,True,False,True,False
31,,3.25,1.5,4.5,4.5,False,False,True,False,True,False
32,,1.25,2.6,5.0,5.0,False,False,False,True,True,False
33,,3.25,1.4,5.0,5.0,False,True,False,False,True,False
34,,1.25,1.75,4.5,4.5,False,True,False,False,True,False
35,,2.4,2.6,4.5,5.0,False,False,True,False,True,False
36,,3.25,1.75,4.5,4.5,False,False,True,False,True,False
37,,2.4,1.5,4.0,4.5,False,False,False,True,True,False
38,,2.4,1.75,,,True,False,False,False,False,False
39,,2.0,3.5,,,True,False,False,False,False,False
40,,2.0,1.75,4.0,4.5,False,False,True,False,True,False
41,,1.25,3.5,4.5,5.0,False,False,True,False,True,False
42,,1.5,3.0,5.0,5.0,False,True,False,False,True,False
43,,2.0,2.75,4.5,4.5,False,True,False,False,True,False
44,,1.5,3.0,,,True,False,False,False,False,False
45,,1.5,2.25,,,True,False,False,False,False,False
46,,1.5,2.75,,,True,False,False,False,False,False
47,,3.25,2.25,,,True,False,False,False,False,False
48,,1.5,2.25,,,True,False,False,False,False,False
49,,2.75,1.5,,,True,False,False,False,False,False
50,,1.5,1.5,,,True,False,False,False,False,False
51,,2.75,3.0,,,True,False,False,False,False,False
52,,3.25,1.5,5.0,5.0,False,False,False,True,True,False
53,,2.75,2.25,4.0,4.5,False,False,False,True,True,False
54,,3.25,2.5,,,True,False,False,False,False,False
55,,2.0,1.5,,,True,False,False,False,False,False
56,,2.75,2.5,4.0,4.5,False,False,True,False,True,False
57,,2.0,3.0,4.0,4.5,False,False,False,True,True,False
58,,2.0,2.5,3.5,4.0,False,True,False,False,True,False
59,,1.5,2.75,4.5,5.0,False,False,True,False,True,False
60,,1.5,2.5,4.0,4.5,False,False,True,False,True,False
61,,3.25,2.75,4.5,5.0,False,False,False,True,True,False
62,,2.0,3.2,,,True,False,False,False,False,False
63,,2.0,2.5,,,True,False,False,False,False,False
64,,2.25,3.2,,,True,False,False,False,False,False
65,,2.0,2.5,,,True,False,False,False,False,False
66,,2.25,2.5,4.5,4.5,False,True,False,False,True,False
67,,1.0,2.5,4.0,4.5,False,True,False,False,True,False
68,,2.25,2.5,,,True,False,False,False,False,False
69,,2.75,2.0,,,True,False,False,False,False,False
70,,2.25,2.0,,,True,False,False,False,False,False
71,,2.75,3.2,,,True,False,False,False,False,False
72,,1.0,2.0,4.5,5.0,False,True,False,False,True,False
73,,2.75,2.5,4.0,4.0,False,False,True,False,True,False
74,,1.0,2.5,,,True,False,False,False,False,False
75,,2.0,2.0,,,True,False,False,False,False,False
76,,2.75,2.5,4.5,5.0,False,False,True,False,True,False
77,,2.0,3.2,4.0,4.0,False,False,True,False,True,False
78,,2.0,2.5,,,True,False,False,False,False,False
79,,2.0,2.5,,,True,False,False,False,False,False
80,,2.0,2.5,4.5,4.5,False,True,False,False,True,False
81,,1.0,2.5,6.0,6.0,False,True,False,False,True,False
82,,1.8,1.8,,,True,False,False,False,False,False
83,,1.8,1.5,,,True,False,False,False,False,False
84,,2.8,1.8,3.0,3.0,False,False,False,True,True,False
85,,1.8,1.4,3.5,4.0,False,True,False,False,True,False
86,,2.8,1.5,3.0,3.5,False,False,False,True,True,False
87,,1.6,1.4,2.5,3.0,False,False,True,False,True,False
88,5.0,2.8,1.4,3.0,3.5,False,False,True,False,True,False
89,,2.0,2.0,3.5,3.5,False,True,False,False,True,False
90,,2.8,2.0,,,True,False,False,False,False,False
91,,2.0,1.8,,,True,False,False,False,False,False
92,,1.6,2.0,,,True,False,False,False,False,False
93,,2.0,1.4,,,True,False,False,False,False,False
94,,1.6,1.6,3.0,3.0,False,True,False,False,True,False
95,,1.8,2.0,4.0,4.0,False,True,False,False,True,False
