,id,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2,event_day,media_goals_home,media_victories_home,media_goals_away,media_victories_away,h2h_mean,home_h2h_mean,away_h2h_mean,res_goals_over_under,asian_handicap1_1,asian_handicap1_2,asian_handicap2_1,asian_handicap2_2,diff_goals,ah1_indefinido,ah1_negativo,ah1_positivo,ah1_reembolso,ah2_indefinido,ah2_negativo,ah2_positivo,ah2_reembolso,goal_line1_1,goal_line1_2,goal_line2_1,goal_line2_2,gl1_indefinido,gl1_negativo,gl1_positivo,gl1_reembolso,gl2_indefinido,gl2_negativo,gl2_positivo,gl2_reembolso,res_double_chance1,res_double_chance2,res_double_chance3,dnb1_ganha,dnb1_indefinido,dnb1_perde,dnb1_reembolso,dnb2_ganha,dnb2_indefinido,dnb2_perde,dnb2_reembolso
0,173313107,11227803,11235937,0,0,0,2.5,1.500,2.500,0.0,1,1.950,0.0,2,1.750,"3.0, 3.5",1.0,1.950,"3.0, 3.5",2.0,1.750,Arsenal (Dennis) or Draw,1.500,Draw or Bayern (Jack),1.363,Arsenal (Dennis) or Bayern (Jack),1.285,1,2.000,2,1.727,20250420,,,,,,,,False,0.0,0.0,0.0,0.0,0,False,False,False,True,False,False,False,True,3.0,3.5,3.0,3.5,False,True,False,False,False,False,True,False,1,1,0,False,False,False,True,False,False,False,True
1,173313109,11228739,11238013,3,3,6,2.5,1.166,4.500,0.0,1,1.825,0.0,2,1.875,"4.0, 4.5",1.0,1.800,"4.0, 4.5",2.0,1.900,Inter (Potter) or Draw,1.444,Draw or PSG (Vendetta),1.500,Inter (Potter) or PSG (Vendetta),1.181,1,1.833,2,1.833,20250420,,,,,,,,True,0.0,0.0,0.0,0.0,0,False,False,False,True,False,False,False,True,4.0,4.5,4.0,4.5,False,False,True,False,False,True,False,False,1,1,0,False,False,False,True,False,False,False,True
2,173313112,11242819,11232015,2,2,4,2.5,1.444,2.625,"0.0, -0.5",1,1.925,"0.0, +0.5",2,1.775,"3.0, 3.5",1.0,1.850,"3.0, 3.5",2.0,1.850,Lazio (Dennis) or Draw,1.363,Draw or A.Bilbao (Potter),1.550,Lazio (Dennis) or A.Bilbao (Potter),1.250,1,1.666,2,2.100,20250420,,,,,,,,True,0.0,-0.5,0.0,0.5,0,False,False,False,True,False,False,False,True,3.0,3.5,3.0,3.5,False,False,True,False,False,True,False,False,1,1,0,False,False,False,True,False,False,False,True
3,173313118,11224615,11232015,0,2,2,2.5,1.444,2.625,"0.0, -0.5",1,1.875,"0.0, +0.5",2,1.825,"3.0, 3.5",1.0,1.850,"3.0, 3.5",2.0,1.850,Lyon (Jack) or Draw,1.333,Draw or A.Bilbao (Potter),1.600,Lyon (Jack) or A.Bilbao (Potter),1.222,1,1.666,2,2.100,20250420,,,,,,,,False,0.0,-0.5,0.0,0.5,-2,False,False,True,False,False,False,True,False,3.0,3.5,3.0,3.5,False,True,False,False,False,False,True,False,0,1,1,False,False,True,False,True,False,False,False
4,173313123,11224615,11273216,0,0,0,2.5,1.285,3.500,"0.0, -0.5",1,1.875,"0.0, +0.5",2,1.825,"3.5, 4.0",1.0,1.850,"3.5, 4.0",2.0,1.850,Lyon (Jack) or Draw,1.363,Draw or Fenerbahce (Vendetta),1.571,Lyon (Jack) or Fenerbahce (Vendetta),1.222,1,1.615,2,2.200,20250420,,,,,,,,False,0.0,-0.5,0.0,0.5,0,False,False,False,True,False,False,False,True,3.5,4.0,3.5,4.0,False,True,False,False,False,False,True,False,1,1,0,False,False,False,True,False,False,False,True
5,173313131,11273216,11242819,2,4,6,2.5,1.250,3.750,0.0,1,1.825,0.0,2,1.875,"3.5, 4.0",1.0,1.825,"3.5, 4.0",2.0,1.875,Fenerbahce (Vendetta) or Draw,1.444,Draw or Lazio (Dennis),1.444,Fenerbahce (Vendetta) or Lazio (Dennis),1.250,1,1.833,2,1.833,20250420,,,,,,,,True,0.0,0.0,0.0,0.0,-2,False,False,True,False,False,False,True,False,3.5,4.0,3.5,4.0,False,False,True,False,False,True,False,False,0,1,1,False,False,True,False,True,False,False,False
6,173313134,11224615,11242819,1,2,3,2.5,1.444,2.625,,,,,,,,,,,,,Lyon (Jack) or Draw,1.333,Draw or Lazio (Dennis),1.500,Lyon (Jack) or Lazio (Dennis),1.285,1,1.666,2,2.100,20250420,,,,,,,,True,,,,,-1,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
7,173313143,11273216,11232015,0,2,2,2.5,1.200,4.333,,,,,,,,,,,,,Fenerbahce (Vendetta) or Draw,1.533,Draw or A.Bilbao (Potter),1.444,Fenerbahce (Vendetta) or A.Bilbao (Potter),1.200,1,1.909,2,1.800,20250420,,,,,,,,False,,,,,-2,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
8,173313149,11232015,11242819,3,0,3,2.5,1.285,3.500,"0.0, +0.5",1,1.825,"0.0, -0.5",2,1.875,"3.5, 4.0",1.0,1.875,"3.5, 4.0",2.0,1.825,A.Bilbao (Potter) or Draw,1.600,Draw or Lazio (Dennis),1.363,A.Bilbao (Potter) or Lazio (Dennis),1.222,1,2.100,2,1.666,20250420,,,,,,,,True,0.0,0.5,0.0,-0.5,3,False,True,False,False,False,True,False,False,3.5,4.0,3.5,4.0,False,True,False,False,False,False,True,False,1,0,1,True,False,False,False,False,False,True,False
9,173313154,11232015,11224615,1,2,3,2.5,1.333,3.250,"0.0, +0.5",1,1.850,"0.0, -0.5",2,1.850,3.5,1.0,1.825,3.5,2.0,1.875,A.Bilbao (Potter) or Draw,1.615,Draw or Lyon (Jack),1.333,A.Bilbao (Potter) or Lyon (Jack),1.222,1,2.200,2,1.615,20250420,,,,,,,,True,0.0,0.5,0.0,-0.5,-1,False,False,True,False,False,False,True,False,3.5,3.5,3.5,3.5,False,True,False,False,False,False,True,False,0,1,1,False,False,True,False,True,False,False,False
10,173313158,11273216,11224615,2,2,4,2.5,1.444,2.625,"0.0, +0.5",1,1.850,"0.0, -0.5",2,1.850,"3.0, 3.5",1.0,1.850,"3.0, 3.5",2.0,1.850,Fenerbahce (Vendetta) or Draw,1.600,Draw or Lyon (Jack),1.300,Fenerbahce (Vendetta) or Lyon (Jack),1.250,1,2.200,2,1.615,20250420,,,,,,,,True,0.0,0.5,0.0,-0.5,0,False,False,False,True,False,False,False,True,3.0,3.5,3.0,3.5,False,False,True,False,False,True,False,False,1,1,0,False,False,False,True,False,False,False,True
11,173313164,11242819,11273216,1,0,1,2.5,1.285,3.500,0.0,1,1.825,0.0,2,1.875,"3.5, 4.0",1.0,1.850,"3.5, 4.0",2.0,1.850,Lazio (Dennis) or Draw,1.444,Draw or Fenerbahce (Vendetta),1.500,Lazio (Dennis) or Fenerbahce (Vendetta),1.222,1,1.833,2,1.833,20250420,,,,,,,,False,0.0,0.0,0.0,0.0,1,False,True,False,False,False,True,False,False,3.5,4.0,3.5,4.0,False,True,False,False,False,False,True,False,1,0,1,True,False,False,False,False,False,True,False
12,173313166,11242819,11224615,0,1,1,2.5,1.600,2.300,,,,,,,,,,,,,Lazio (Dennis) or Draw,1.500,Draw or Lyon (Jack),1.363,Lazio (Dennis) or Lyon (Jack),1.285,1,2.000,2,1.727,20250420,,,,,,,,False,,,,,-1,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
13,173313170,11232015,11273216,2,3,5,2.5,1.285,3.500,,,,,,,,,,,,,A.Bilbao (Potter) or Draw,1.333,Draw or Fenerbahce (Vendetta),1.615,A.Bilbao (Potter) or Fenerbahce (Vendetta),1.222,1,1.571,2,2.250,20250420,,,,,,,,True,,,,,-1,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
14,173319273,11261003,11230252,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,20250420,,,,,,,,False,,,,,1,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,0,1,False,True,False,False,False,True,False,False
15,173319276,11223811,11261002,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,20250420,,,,,,,,False,,,,,-2,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,0,1,1,False,True,False,False,False,True,False,False
16,173319280,11252538,11230252,2,2,4,2.5,1.125,5.500,,,,,,,,,,,,,Man City (Hussein) or Draw,1.444,Draw or Arsenal (Ivan),1.600,Man City (Hussein) or Arsenal (Ivan),1.166,1,1.727,2,2.000,20250420,,,,,,,,True,,,,,0,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,1,0,False,False,False,True,False,False,False,True
17,173319283,11261003,11223811,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,20250420,,,,,,,,False,,,,,-1,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,0,1,1,False,True,False,False,False,True,False,False
18,173319291,11252538,11261002,4,1,5,2.5,1.125,5.500,"-0.5, -1.0",1,1.900,"+0.5, +1.0",2,1.800,"4.5, 5.0",1.0,1.875,"4.5, 5.0",2.0,1.825,Man City (Hussein) or Draw,1.285,Draw or Newcastle (Zangief),1.909,Man City (Hussein) or Newcastle (Zangief),1.125,1,1.444,2,2.625,20250420,,,,,,,,True,-0.5,-1.0,0.5,1.0,3,False,True,False,False,False,True,False,False,4.5,5.0,4.5,5.0,False,False,False,True,False,False,False,True,1,0,1,True,False,False,False,False,False,True,False
19,173319303,11230252,11223811,0,0,0,2.5,1.125,5.500,0.0,1,1.775,0.0,2,1.925,"4.5, 5.0",1.0,1.900,"4.5, 5.0",2.0,1.800,Arsenal (Ivan) or Draw,1.444,Draw or Chelsea (Madisson),1.571,Arsenal (Ivan) or Chelsea (Madisson),1.166,1,1.800,2,1.909,20250420,,,,,,,,False,0.0,0.0,0.0,0.0,0,False,False,False,True,False,False,False,True,4.5,5.0,4.5,5.0,False,True,False,False,False,False,True,False,1,1,0,False,False,False,True,False,False,False,True
20,173319309,11252538,11223811,1,0,1,2.5,1.300,3.400,,,,,,,,,,,,,Man City (Hussein) or Draw,1.285,Draw or Chelsea (Madisson),1.727,Man City (Hussein) or Chelsea (Madisson),1.200,1,1.500,2,2.500,20250420,,,,,,,,False,,,,,1,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,0,1,True,False,False,False,False,False,True,False
21,173319312,11261002,11261003,2,4,6,2.5,1.062,8.000,,,,,,,,,,,,,Newcastle (Zangief) or Draw,1.833,Draw or Nottm Forest (Goliath),1.333,Newcastle (Zangief) or Nottm Forest (Goliath),1.125,1,2.500,2,1.500,20250420,,,,,,,,True,,,,,-2,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
22,173319315,11252538,11261003,2,2,4,2.5,1.200,4.333,,,,,,,,,,,,,Man City (Hussein) or Draw,1.400,Draw or Nottm Forest (Goliath),1.600,Man City (Hussein) or Nottm Forest (Goliath),1.181,1,1.666,2,2.100,20250420,,,,,,,,True,,,,,0,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,1,0,False,False,False,True,False,False,False,True
