,media_goals_home,media_goals_away,home_h2h_mean,away_h2h_mean,asian_handicap_1,asian_handicap_2,odds,indefinido,negativo,positivo,reembolso
0,3.0,1.8,3.0,2.0,-1.0,-1.5,1.9,False,,,False
1,1.8,3.0,,,1.0,1.0,1.85,False,,,False
2,2.6,2.5,,,,,,True,,,False
3,1.8,3.2,4.0,6.0,,,,True,,,False
4,2.0,2.5,,,,,,True,,,False
5,2.6,2.6,4.0,1.0,,,,True,,,False
6,2.0,3.2,1.0,2.0,0.5,0.5,1.8,False,,,False
7,3.0,2.6,,,0.5,0.5,1.875,False,,,False
8,2.0,2.6,3.0,0.0,,,,True,,,False
9,2.8,1.4,3.0,3.0,,,,True,,,False
10,2.0,1.4,0.0,1.0,,,,True,,,False
11,2.8,2.5,,,,,,True,,,False
12,3.0,1.4,,,1.0,1.0,1.85,False,,,False
13,2.8,2.6,3.0,3.0,0.0,0.0,1.875,False,,,False
14,3.0,2.6,,,0.0,0.0,1.925,False,,,False
15,1.8,1.4,1.0,4.0,0.5,1.0,1.85,False,,,False
16,2.8,2.6,3.0,3.0,-0.5,-0.5,1.85,False,,,False
17,1.8,2.5,,,-0.5,-0.5,1.875,False,,,False
18,1.8,2.6,2.0,5.0,,,,True,,,False
19,2.6,3.2,2.0,1.0,,,,True,,,False
20,2.6,2.6,4.0,3.0,-1.0,-1.5,1.9,False,,,True
21,3.0,3.2,,,0.5,0.5,1.85,False,,,False
22,2.0,1.5,,,0.0,-0.5,1.8,False,,,False
23,2.4,3.5,,,0.0,-0.5,1.85,False,,,True
24,2.0,1.5,,,0.0,-0.5,1.925,False,,,True
25,2.0,1.4,,,0.0,-0.5,1.85,False,,,False
26,2.0,3.5,,,,,,True,,,False
27,1.25,1.4,,,,,,True,,,False
28,2.0,1.4,,,,,,True,,,False
29,3.25,2.6,,,,,,True,,,False
30,2.0,2.6,,,0.0,0.5,1.775,False,,,False
31,3.25,1.5,,,0.0,0.5,1.825,False,,,False
32,1.25,2.6,,,0.5,0.5,1.85,False,,,False
33,3.25,1.4,,,0.0,0.5,1.85,False,,,True
34,1.25,1.75,,,0.0,0.5,1.75,False,,,False
35,2.4,2.6,,,0.0,0.5,1.9,False,,,False
36,3.25,1.75,,,0.0,0.0,1.925,False,,,False
37,2.4,1.5,,,0.0,0.0,1.775,False,,,False
38,2.4,1.75,,,,,,True,,,False
39,2.0,3.5,,,,,,True,,,False
40,2.0,1.75,,,0.0,-0.5,1.775,False,,,False
41,1.25,3.5,,,0.0,-0.5,1.875,False,,,False
42,1.5,3.0,,,-0.5,-0.5,1.8,False,,,False
43,2.0,2.75,,,0.0,-0.5,1.85,False,,,True
44,1.5,3.0,,,,,,True,,,False
45,1.5,2.25,,,,,,True,,,False
46,1.5,2.75,,,,,,True,,,False
47,3.25,2.25,,,,,,True,,,False
48,1.5,2.25,,,,,,True,,,False
49,2.75,1.5,,,,,,True,,,False
50,1.5,1.5,,,,,,True,,,False
51,2.75,3.0,,,,,,True,,,False
52,3.25,1.5,,,0.5,0.5,1.85,False,,,False
53,2.75,2.25,,,0.0,0.5,1.85,False,,,True
54,3.25,2.5,,,,,,True,,,False
55,2.0,1.5,,,,,,True,,,False
56,2.75,2.5,,,0.0,0.5,1.8,False,,,False
57,2.0,3.0,,,0.0,0.5,1.8,False,,,True
58,2.0,2.5,,,0.0,0.0,1.925,False,,,True
59,1.5,2.75,,,0.0,-0.5,1.875,False,,,False
60,1.5,2.5,,,0.0,-0.5,1.875,False,,,False
