,media_goals_home,media_goals_away,home_h2h_mean,away_h2h_mean,asian_handicap_1,asian_handicap_2,odds,indefinido,negativo,positivo,reembolso
0,3.0,1.8,3.0,2.0,-1.0,-1.5,1.9,False,False,True,False
1,1.8,3.0,,,1.0,1.0,1.85,False,False,True,False
6,2.0,3.2,1.0,2.0,0.5,0.5,1.8,False,True,False,False
7,3.0,2.6,,,0.5,0.5,1.875,False,False,True,False
12,3.0,1.4,,,1.0,1.0,1.85,False,False,True,False
13,2.8,2.6,3.0,3.0,0.0,0.0,1.875,False,False,True,False
14,3.0,2.6,,,0.0,0.0,1.925,False,False,True,False
15,1.8,1.4,1.0,4.0,0.5,1.0,1.85,False,True,False,False
16,2.8,2.6,3.0,3.0,-0.5,-0.5,1.85,False,False,True,False
17,1.8,2.5,,,-0.5,-0.5,1.875,False,True,False,False
20,2.6,2.6,4.0,3.0,-1.0,-1.5,1.9,False,False,False,True
21,3.0,3.2,,,0.5,0.5,1.85,False,False,True,False
22,2.0,1.5,,,0.0,-0.5,1.8,False,False,True,False
23,2.4,3.5,,,0.0,-0.5,1.85,False,False,False,True
24,2.0,1.5,,,0.0,-0.5,1.925,False,False,False,True
25,2.0,1.4,,,0.0,-0.5,1.85,False,False,True,False
30,2.0,2.6,,,0.0,0.5,1.775,False,False,True,False
31,3.25,1.5,,,0.0,0.5,1.825,False,False,True,False
32,1.25,2.6,,,0.5,0.5,1.85,False,True,False,False
33,3.25,1.4,,,0.0,0.5,1.85,False,False,False,True
34,1.25,1.75,,,0.0,0.5,1.75,False,True,False,False
35,2.4,2.6,,,0.0,0.5,1.9,False,False,True,False
36,3.25,1.75,,,0.0,0.0,1.925,False,False,True,False
37,2.4,1.5,,,0.0,0.0,1.775,False,True,False,False
40,2.0,1.75,,,0.0,-0.5,1.775,False,False,True,False
41,1.25,3.5,,,0.0,-0.5,1.875,False,True,False,False
42,1.5,3.0,,,-0.5,-0.5,1.8,False,True,False,False
43,2.0,2.75,,,0.0,-0.5,1.85,False,False,False,True
52,3.25,1.5,,,0.5,0.5,1.85,False,False,True,False
53,2.75,2.25,,,0.0,0.5,1.85,False,False,False,True
56,2.75,2.5,,,0.0,0.5,1.8,False,True,False,False
57,2.0,3.0,,,0.0,0.5,1.8,False,False,False,True
58,2.0,2.5,,,0.0,0.0,1.925,False,False,False,True
59,1.5,2.75,,,0.0,-0.5,1.875,False,True,False,False
60,1.5,2.5,,,0.0,-0.5,1.875,False,True,False,False
61,3.25,2.75,,,0.0,-0.5,1.875,False,False,True,False
66,2.25,2.5,,,0.0,-0.5,1.85,False,True,False,False
67,1.0,2.5,,,0.0,0.0,1.825,False,True,False,False
72,1.0,2.0,,,0.5,0.5,1.8,False,False,True,False
73,2.75,2.5,,,0.0,-0.5,1.85,False,True,False,False
76,2.75,2.5,,,0.0,0.0,1.925,False,True,False,False
77,2.0,3.2,,,0.0,0.0,1.775,False,True,False,False
80,2.0,2.5,,,0.0,0.5,1.85,False,False,False,True
81,1.0,2.5,,,0.0,0.0,1.8,False,True,False,False
84,2.8,1.8,,,0.0,0.0,1.925,False,False,True,False
85,1.8,1.4,,,0.0,-0.5,1.875,False,False,True,False
86,2.8,1.5,,,0.0,0.0,1.75,False,False,True,False
87,1.6,1.4,,,0.0,0.0,1.775,False,False,True,False
88,2.8,1.4,2.0,3.0,0.0,0.0,1.825,False,False,True,False
89,2.0,2.0,,,0.0,0.5,1.825,False,True,False,False
94,1.6,1.6,,,0.0,0.0,1.875,False,False,False,True
95,1.8,2.0,,,0.0,0.5,1.9,False,False,True,False
98,1.8,1.6,3.5,2.5,0.0,0.0,1.9,False,True,False,False
99,1.8,1.5,,,0.0,-0.5,1.85,False,True,False,False
100,1.8,1.6,,,0.0,-0.5,1.85,False,False,True,False
101,1.6,1.5,,,0.0,0.0,1.9,False,False,False,True
104,1.75,1.75,,,0.0,0.0,1.825,False,False,False,True
105,1.2,1.0,,,0.0,-0.5,1.875,False,True,False,False
109,1.75,1.0,,,0.0,-0.5,1.85,False,False,True,False
110,1.0,1.2,,,0.0,0.5,1.8,False,False,False,True
113,1.75,1.2,,,0.0,0.5,1.9,False,False,False,True
114,1.0,1.75,,,0.0,0.0,1.8,False,True,False,False
115,2.8,3.4,,,0.0,-0.5,1.85,False,False,False,True
116,2.4,3.4,,,0.0,0.5,1.825,False,True,False,False
120,1.25,1.25,,,0.0,0.0,1.85,False,False,True,False
121,1.5,1.2,,,0.0,0.5,1.8,False,True,False,False
122,2.8,4.0,4.0,3.5,0.0,0.0,1.875,False,True,False,False
123,1.0,1.25,,,0.0,0.0,1.85,False,False,True,False
124,1.5,1.75,,,0.0,0.5,1.9,False,False,True,False
125,2.8,4.0,,,-0.5,-0.5,1.9,False,True,False,False
126,1.8,4.0,,,0.0,0.5,1.85,False,False,False,True
